id;imnz;dat_ur;mce_ur;partia;log;zawod;nrokregu;nzokregu
270;Janina Okrągły;27-06-1955;Sosnowiec,Polska;PO;11418;lekarz medycyny;21;Opole
271;Alicja Olechowska;10-02-1956;Grodzisk Mazowiecki,Polska;PO;10884;inspektor nadzoru budowlanego;20;Warszawa
272;Cezary Olejniczak;12-10-1972;Łowicz,Polska;SLD;7082;rolnik;11;Sieradz
273;Paweł Olszewski;11-12-1979;Bydgoszcz,Polska;PO;9257;ekonomista;4;Bydgoszcz
274;Marek Opioła;24-09-1976;Warszawa,Polska;PiS;9545;poseł;16;Płock
275;Andrzej Orzechowski;10-11-1962;Rutki,Polska;PO;12046;ekonomista;35;Olsztyn
276;Maciej Orzechowski;04-05-1971;Krotoszyn,Polska;PO;14123;lekarz ginekolog;36;Kalisz
277;Artur Ostrowski;29-08-1968;Piotrków Trybunalski,Polska;SLD;7884;nauczyciel politolog;10;Piotrków
278;Jacek Osuch;28-08-1958;Olkusz,Polska;PiS;10997;parlamentarzysta;13;Kraków
279;Konstanty Oświęcimski;19-09-1964;Trzebiatów,Polska;PO;7459;mgr administracji;41;Szczecin
280;Krystyna Ozga;20-06-1944;Częstochowa,Polska;PSL;9207;inżynier rolnik;10;Piotrków
281;Stanisław Ożóg;27-05-1953;Sokołów Małopolski,Polska;PiS;37160;inżynier geodeta;23;Rzeszów
282;Zbigniew Pacelt;26-08-1951;Ostrowiec Świętokrzyski,Polska;PO;8842;nauczyciel;33;Kielce
283;Michał Tomasz Pacholski;31-10-1985;Łęczyca,Polska;RP;12918;geodeta;11;Sieradz
284;Witold Pahl;07-12-1961;Wrocław,Polska;PO;7235;radca prawny;8;Zielona
285;Janusz Palikot;26-10-1964;Biłgoraj,Polska;RP;94811;filozof;19;Warszawa
286;Anna Paluch;31-03-1960;Nowy Targ,Polska;PiS;9764;pracownik samorządowy;14;Nowy
287;Paweł Papke;13-02-1977;Starogard Gdański,Polska;PO;10132;instruktor piłki siatkowej;35;Olsztyn
288;Mirosław Pawlak;02-04-1942;Zielonki,Polska;PSL;6317;nauczyciel;33;Kielce
289;Waldemar Pawlak;05-09-1959;Model,Polska;PSL;24491;rolnik;16;Płock
290;Krystyna Pawłowicz;14-04-1952;Wojcieszów,Polska;PiS;20681;prawnik;18;Siedlce
291;Wojciech Penkalski;17-05-1974;Braniewo,Polska;RP;9255;przedsiębiorca;34;Elbląg
292;Małgorzata Pępek;10-06-1961;Kocierz Rydzwałdzki,Polska;PO;12723;ekonomista;27;Bielsko-Biała
293;Andrzej Piątak;02-09-1969;Szczecin,Polska;RP;15579;inżynier elektronik;41;Szczecin
294;Bolesław Grzegorz Piecha;19-09-1954;Rybnik,Polska;PiS;34520;lekarz medycyny;30;Rybnik
295;Janusz Piechociński;15-03-1960;Studzianki Pancerne,Polska;PSL;11638;ekonomista;20;Warszawa
296;Sławomir Jan Piechota;01-01-1960;Tomaszów Mazowiecki,Polska;PO;11750;radca prawny;3;Wrocław
297;Elżbieta Apolonia Pierzchała;05-07-1954;Sosnowiec,Polska;PO;14557;inżynier transportu kolejowego;31;Katowice
298;Danuta Pietraszewska;08-05-1947;Ruda Śląska,Polska;PO;25496;Poseł na Sejm RP;31;Katowice
299;Lucjan Marek Pietrzczyk;24-03-1960;Bilcza,Polska;PO;6057;urzędnik państwowy;33;Kielce
300;Jarosław Pięta;27-12-1964;Sosnowiec,Polska;PO;9309;parlamentarzysta;32;Sosnowiec
301;Stanisław Pięta;09-05-1971;Bielsko-Biała,Polska;PiS;12708;Poseł na Sejm RP;27;Bielsko-Biała
302;Dariusz Piontkowski;17-12-1964;Sielc,Polska;PiS;14439;nauczyciel;24;Białystok
303;Stanisław Piotrowicz;19-07-1952;Bochnia,Polska;PiS;12325;prokurator;22;Krosno
304;Teresa Piotrowska;05-02-1955;Tczew,Polska;PO;10009;poseł na Sejm RP;4;Bydgoszcz
305;Julia Pitera;26-05-1953;Warszawa,Polska;PO;29095;polonista;16;Płock
306;Kazimierz Plocke;03-05-1958;Domatowo,Polska;PO;18452;inżynier rolnik;26;Gdynia
307;Marek Plura;18-07-1970;Racibórz,Polska;PO;22795;pedagog;31;Katowice
308;Mirosław Pluta;09-03-1960;Baranów Sandomierski,Polska;PO;12812;socjolog;23;Rzeszów
309;Jerzy Polaczek;24-08-1961;Piekary Śląskie,Polska;PiS;22310;prawnik;29;Gliwice
310;Marek Polak;19-11-1963;Wadowice,Polska;PiS;6341;technik mechanik;12;Chrzanów
311;Piotr Polak;20-01-1961;Grabinka,Polska;PiS;9022;rolnik;11;Sieradz
312;Agnieszka Pomaska;08-01-1980;Gdynia,Polska;PO;16117;politolog;25;Gdańsk
313;Krzysztof Popiołek;16-02-1956;Babule,Polska;PiS;12755;inżynier elektryk;23;Rzeszów
314;Zofia Popiołek;20-06-1952;Lublin,Polska;RP;18752;administratywista;6;Lublin
315;Krystyna Poślednia;15-03-1957;Września,Polska;PO;8714;samorządowiec;37;Konin
316;Marek Poznański;14-10-1984;Hrubieszów,Polska;RP;16640;archeolog;7;Chełm
317;Stanisława Prządka;06-05-1943;Karczmiska,Polska;SLD;8717;prawnik;18;Siedlce
318;Piotr Pyzik;01-01-1959;Puławy,Polska;PiS;12039;politolog;29;Gliwice
319;Józef Racki;28-03-1943;Mdzewko,Polska;PSL;6179;inż. geodeta;36;Kalisz
320;Damian Raczkowski;11-04-1975;Białystok,Polska;PO;10271;prawnik;24;Białystok
321;Elżbieta Radziszewska;06-01-1958;Białocin,Polska;PO;19269;lekarz medycyny;10;Piotrków
322;Elżbieta Rafalska;22-06-1955;Wschowa,Polska;PiS;14812;nauczyciel akademicki;8;Zielona
323;Grzegorz Raniewicz;09-07-1970;Chełm,Polska;PO;7907;przedsiębiorca;7;Chełm
324;Ireneusz Raś;30-09-1972;Proszowice,Polska;PO;31455;historyk;13;Kraków
325;Jerzy Rębek;10-02-1960;Radzyń Podlaski,Polska;SP;7503;administrator;7;Chełm
326;Adam Rogacki;20-02-1976;Kalisz,Polska;PiS;14903;prawnik;36;Kalisz
327;Józef Rojek;20-03-1950;Ropczyce,Polska;SP;15978;inżynier mechanik;15;Tarnów
328;Andrzej Romanek;01-11-1967;Grybów,Polska;SP;9743;radca prawny;14;Nowy
329;Dariusz Rosati;08-08-1946;Radom,Polska;PO;59562;ekonomista;20;Warszawa
330;Andrzej Rozenek;17-03-1969;Warszawa,Polska;RP;15793;dziennikarz;31;Katowice
331;Halina Rozpondek;25-05-1950;Częstochowa,Polska;PO;23722;bibliotekoznawca;28;Częstochowa
332;Jarosław Rusiecki;20-07-1961;Nieskurzów Stary,Polska;PiS;7323;socjolog;33;Kielce
333;Dorota Rutkowska;24-01-1962;Skierniewice,Polska;PO;10268;socjolog;10;Piotrków
334;Jakub Rutnicki;03-12-1978;Szmotuły,Polska;PO;19784;politolog;38;Piła
335;Adam Rybakowicz;04-04-1984;Augustów,Polska;RP;11792;przedsiębiorca;24;Białystok
337;Armand Kamil Ryfiński;29-11-1974;Warszawa,Polska;RP;7812;ekonomista;17;Radom
338;Zbigniew Rynasiewicz;04-10-1963;Grodzisko Dolne,Polska;PO;27510;historyk;23;Rzeszów
339;Marek Rząsa;04-10-1957;Rzeszów,Polska;PO;9204;nauczyciel dyplomowany;22;Krosno
340;Bogdan Rzońca;01-02-1961;Zarzecze,Polska;PiS;15623;nauczyciel historii;22;Krosno
341;Małgorzata Sadurska;03-12-1975;Puławy,Polska;PiS;15946;prawnik;6;Lublin
342;Paweł Sajak;22-12-1977;Żyrardów,Polska;RP;7747;elektronik;16;Płock
343;Wojciech Saługa;27-03-1969;Jaworzno,Polska;PO;26368;parlamentarzysta;32;Sosnowiec
344;Jacek Sasin;06-11-1969;Warszawa,Polska;PiS;29134;historyk;20;Warszawa
345;Marek Sawicki;08-04-1958;Sawice,Polska;PSL;23901;inżynier rolnictwa;18;Siedlce
346;Grzegorz Schetyna;18-02-1963;Opole,Polska;PO;67670;parlamentarzysta;1;Legnica
347;Grzegorz Schreiber;14-02-1961;Bydgoszcz,Polska;PiS;17808;filolog;11;Sieradz
348;Małgorzata Sekuła-Szmajdzińska;19-04-1956;Warszawa,Polska;SLD;15883;adwokat;1;Legnica
349;Dariusz Seliga;10-04-1969;Skierniewice,Polska;PiS;8129;administratywista;10;Piotrków
350;Jarosław Sellin;01-05-1963;Gdynia,Polska;PiS;9932;urzędnik państwowy;26;Gdynia
351;Edward Siarka;07-07-1963;Rabka,Polska;SP;13264;parlamentarzysta;14;Nowy
352;Krystyna Sibińska;12-06-1962;Złocieniec,Polska;PO;8756;inż. budownictwa;8;Zielona
353;Henryk Siedlaczek;30-01-1956;Wodzisław Śląski,Polska;PO;20019;nauczyciel;30;Rybnik
354;Radosław Sikorski;23-02-1963;Bydgoszcz,Polska;PO;91720;politolog;4;Bydgoszcz
355;Krystyna Skowrońska;22-07-1954;Mielec,Polska;PO;25174;bankowiec;23;Rzeszów
356;Bożena Sławiak;28-05-1948;Sulęcin,Polska;PO;6673;pedagog;8;Zielona
357;Waldemar Sługocki;09-09-1971;Sulechów,Polska;PO;6465;urzędnik, nauczyciel akademicki;8;Zielona
358;Tomasz Smolarz;06-08-1966;Bielawa,Polska;PO;9893;inżynier budownictwa;2;Wałbrzych
359;Anna Elżbieta Sobecka;27-03-1951;Piotrków Kujawski,Polska;PiS;6990;nauczyciel;5;Toruń
360;Zbigniew Sosnowski;10-12-1963;Rypin,Polska;PSL;7354;mgr historii;5;Toruń
361;Lech Sprawka;09-08-1955;Radawczyk Kolonia,Polska;PiS;23848;nauczyciel;6;Lublin
362;Lidia Staroń;07-06-1960;Morąg,Polska;PO;16091;inżynier budownictwa;35;Olsztyn
363;Franciszek Jerzy Stefaniuk;04-06-1944;Drelów,Polska;PSL;10527;ekonomista;7;Chełm
364;Marek Stolarski;04-03-1963;Bytom,Polska;RP;12739;politolog;29;Gliwice
365;Stefan Strzałkowski;31-08-1957;Białogard,Polska;PiS;4840;nauczyciel;40;Koszalin
366;Wiesław Suchowiejko;15-05-1957;Szczecinek,Polska;PO;8724;nauczyciel;40;Koszalin
367;Marek Suski;11-06-1958;Grójec,Polska;PiS;17251;poseł;17;Radom
368;Paweł Suski;10-06-1964;Wałcz,Polska;PO;7741;przedsiębiorca;40;Koszalin
369;Miron Sycz;03-01-1960;Ostre Bardo,Polska;PO;8884;poseł na Sejm RP;34;Elbląg
370;Paweł Szałamacha;24-01-1969;Gorzów Wlkp.,Polska;PiS;12009;radca prawny;38;Piła
371;Wojciech Szarama;16-12-1955;Bytom,Polska;PiS;27541;prawnik;31;Katowice
372;Michał Szczerba;14-12-1977;Warszawa,Polska;PO;4137;poseł na Sejm RP;19;Warszawa
373;Krzysztof Szczerski;15-04-1973;Kraków,Polska;PiS;4751;nauczyciel akademicki;12;Chrzanów
374;Jolanta Szczypińska;24-06-1957;Słupsk,Polska;PiS;19819;pielęgniarka dyplomowana;26;Gdynia
375;Adam Szejnfeld;13-11-1958;Kalisz,Polska;PO;45764;prawnik;38;Piła
376;Piotr Szeliga;12-10-1977;Biłgoraj,Polska;SP;8222;nauczyciel;7;Chełm
377;Andrzej Szlachta;19-01-1947;Rzeszów,Polska;PiS;13717;nauczyciel akademicki;23;Rzeszów
378;Jerzy Szmit;08-09-1960;Olsztyn,Polska;PiS;17234;geodeta;35;Olsztyn
379;Grzegorz Sztolcman;23-05-1962;Częstochowa,Polska;PO;8926;lekarz medycyny;28;Częstochowa
380;Andrzej Sztorc;09-08-1953;Wola Rzędzińska,Polska;PSL;7087;rolnik, przedsiębiorca;15;Tarnów
381;Jakub Szulc;21-12-1973;Kłodzko,Polska;PO;17230;ekonomista;2;Wałbrzych
382;Krystyna Szumilas;28-06-1956;Knurów,Polska;PO;42200;nauczyciel;29;Gliwice
383;Stanisław Szwed;12-04-1955;Bielsko-Biała,Polska;PiS;32416;Poseł na Sejm RP;27;Bielsko-Biała
384;Beata Szydło;15-04-1963;Oświęcim,Polska;PiS;43612;etnograf;12;Chrzanów
385;Bożena Szydłowska;11-04-1951;Poznań,Polska;PO;14352;doradca podatkowy;39;Poznań
386;Tomasz Szymański;24-04-1978;Grudziądz,Polska;PO;7510;pracownik samorządowy;5;Toruń
387;Halina Szymiec-Raczyńska;14-04-1949;Łazy,Polska;RP;12654;lekarz;2;Wałbrzych
388;Jan Szyszko;19-04-1944;Stara Miłosna,Polska;PiS;13636;nauczyciel akademicki;20;Warszawa
389;Iwona Śledzińska-Katarasińska;03-01-1941;Komorniki,Polska;PO;16279;dziennikarz;9;Łódź
390;Janusz Śniadek;26-05-1955;Sopot,Polska;PiS;26440;inżynier mechanik;26;Gdynia
391;Jacek Świat;16-12-1955;Wrocław,Polska;PiS;14904;specjalista marketingu;3;Wrocław
392;Marcin Święcicki;17-04-1947;Warszawa,Polska;PO;6246;ekonomista;19;Warszawa
394;Krzysztof Tchórzewski;19-05-1950;Rzążew,Polska;PiS;22787;elektryk;18;Siedlce
395;Robert Telus;18-04-1969;Opoczno,Polska;PiS;11305;inżynier środowiska;10;Piotrków
396;Ryszard Terlecki;02-09-1949;Kraków,Polska;PiS;14726;historyk;13;Kraków
397;Grzegorz Tobiszowski;01-11-1965;Ruda Śląska,Polska;PiS;13268;ekonomista;31;Katowice
398;Genowefa Tokarska;05-08-1949;Biszcza,Polska;PSL;8906;pracownik administracji rządowej;7;Chełm
399;Piotr Tomański;25-06-1969;Przemyśl,Polska;PO;9621;ekonomista;22;Krosno
400;Jan Tomaszewski;09-01-1948;Wrocław,Polska;PiS;8114;komentator sportowy;9;Łódź
401;Tadeusz Tomaszewski;21-02-1959;Niechanowo,Polska;SLD;11267;ekonomista;37;Konin
402;Jacek Tomczak;27-07-1973;Poznań,Polska;PO;14547;notariusz;39;Poznań
403;Cezary Tomczyk;25-08-1984;Gryfice,Polska;PO;12748;politolog;11;Sieradz
404;Tomasz Tomczykiewicz;02-03-1961;Pszczyna,Polska;PO;57323;Poseł na Sejm RP;31;Katowice
405;Aleksandra Trybuś;23-06-1967;Cieszyn,Polska;PO;10061;nauczyciel;27;Bielsko-Biała
406;Donald Tusk;22-04-1957;Gdańsk,Polska;PO;374920;historyk;19;Warszawa
407;Robert Tyszkiewicz;07-06-1963;Białystok,Polska;PO;10465;wydawca;24;Białystok
408;Kazimierz Michał Ujazdowski;28-07-1964;Kielce,Polska;PiS;26221;nauczyciel akademicki;3;Wrocław
409;Piotr Van der Coghen;23-02-1953;Krynica-Zdrój,Polska;PO;12171;ratownik górski;32;Sosnowiec
410;Jan Vincent-Rostowski;30-04-1951;Londyn,Wielka Brytania;PO;10743;ekonomista;19;Warszawa
411;Piotr Walkowski;16-11-1963;Boguszów-Gorce,Polska;PSL;6331;inż. zootechnik;36;Kalisz
412;Robert Wardzała;12-10-1975;Tarnów,Polska;PO;10437;przedsiębiorca;15;Tarnów
413;Jan Warzecha;21-04-1959;Jodłowa,Polska;PiS;12588;ekonomista;23;Rzeszów
414;Witold Waszczykowski;05-05-1957;Piotrków Trybunalski,Polska;PiS;36854;nauczyciel akademicki - nauki humanistyczne;9;Łódź
415;Jerzy Wenderlich;22-04-1954;Toruń,Polska;SLD;19078;dziennikarz;5;Toruń
416;Monika Wielichowska;04-10-1973;Nowa Ruda,Polska;PO;10589;ekonomista;2;Wałbrzych
417;Przemysław Wipler;15-07-1978;Piekary Śląskie,Polska;PiS;4615;prawnik;19;Warszawa
418;Jadwiga Wiśniewska;02-07-1963;Myszków,Polska;PiS;34491;pedagog;28;Częstochowa
419;Mariusz Witczak;14-04-1971;Koźminek,Polska;PO;31263;politolog;36;Kalisz
420;Elżbieta Witek;17-12-1957;Jawor,Polska;PiS;9381;parlamentarzysta;1;Legnica
421;Marcin Witko;23-07-1971;Głowno,Polska;PiS;6535;nauczyciel;10;Piotrków
422;Radosław Witkowski;04-06-1974;Radom,Polska;PO;7285;przedsiębiorca;17;Radom
423;Zbigniew Włodkowski;30-04-1961;Pisz,Polska;PSL;8131;nauczyciel;35;Olsztyn
424;Norbert Wojnarowski;12-11-1976;Dobre Miasto,Polska;PO;5981;ekonomista;1;Legnica
425;Michał Wojtkiewicz;24-06-1946;Tuchów,Polska;PiS;9403;inżynier geodeta;15;Tarnów
426;Marek Wojtkowski;26-02-1968;Lubraniec,Polska;PO;7352;nauczyciel akademicki;5;Toruń
427;Ewa Wolak;01-06-1960;Wrocław,Polska;PO;11554;nauczyciel;3;Wrocław
428;Bogusław Wontor;29-09-1967;Słubice,Polska;SLD;8065;menadżer;8;Zielona
429;Grzegorz Adam Woźniak;18-12-1968;Garwolin,Polska;PiS;8550;geograf;18;Siedlce
430;Tadeusz Woźniak;15-01-1960;Kutno,Polska;SP;8996;historyk;11;Sieradz
431;Marek Wójcik;24-03-1980;Katowice,Polska;PO;10753;Poseł na Sejm RP;31;Katowice
432;Marzena Dorota Wróbel;15-10-1963;Radom,Polska;SP;11738;nauczyciel;17;Radom
433;Maciej Wydrzyński;15-12-1974;Bydgoszcz,Polska;RP;15311;przedsiębiorca;5;Toruń
434;Stanisław Wziątek;13-11-1959;Połczyn Zdrój,Polska;SLD;8838;nauczyciel;40;Koszalin
435;Zbyszek Zaborowski;26-02-1958;Wilamowice,Polska;SLD;9482;politolog;31;Katowice
436;Jadwiga Zakrzewska;04-11-1950;Płońsk,Polska;PO;11383;poseł na Sejm RP;20;Warszawa
437;Anna Zalewska;06-07-1965;Świebodzice,Polska;PiS;14999;parlamentarzysta;2;Wałbrzych
438;Renata Zaremba;11-06-1967;Resko,Polska;PO;6355;politolog;41;Szczecin
439;Ryszard Zawadzki;24-08-1951;Nysa,Polska;PO;10108;nauczyciel;30;Rybnik
440;Sławomir Zawiślak;09-06-1963;Krasnobród,Polska;PiS;24478;historyk;7;Chełm
441;Łukasz Zbonikowski;20-02-1978;Toruń,Polska;PiS;17327;prawnik;5;Toruń
442;Ryszard Zbrzyzny;04-05-1955;Lubawka,Polska;SLD;11990;inż. górnik;1;Legnica
443;Bogdan Zdrojewski;18-05-1957;Kłodzko,Polska;PO;149962;kulturoznawca;3;Wrocław
444;Piotr Zgorzelski;17-09-1963;Płock,Polska;PSL;4323;pracownik samorządowy;16;Płock
445;Jarosław Zieliński;20-09-1960;Szwajcaria,Suwałki,Polska;PiS;21015;nauczyciel;24;Białystok
446;Maciej Zieliński;05-01-1971;Wałbrzych,Polska;PO;6099;koszykarz;3;Wrocław
447;Wojciech Ziemniak;25-03-1956;Czempiń,Polska;PO;12713;nauczyciel wychowania fizycznego;36;Kalisz
448;Jerzy Ziętek;01-12-1956;Katowice,Polska;PO;8960;lekarz ginekolog;31;Katowice
449;Jan Ziobro;04-09-1989;Kraków,Polska;SP;9347;logistyk;15;Tarnów
450;Kazimierz Ziobro;12-07-1949;Nowa Wieś,Polska;SP;8234;teolog;22;Krosno
451;Kosma Złotowski;14-01-1964;Bydgoszcz,Polska;PiS;21607;ekonomista;4;Bydgoszcz
452;Maria Zuba;06-04-1951;Suchedniów,Polska;PiS;6222;inżynier elektryk;33;Kielce
453;Wojciech Zubowski;12-11-1979;Wrocław,Polska;PiS;6800;specjalista do spraw zarządzania i organizacji;1;Legnica
454;Józef Zych;23-03-1938;Giedlarowa,Polska;PSL;6919;prawnik;8;Zielona
455;Jarosław Żaczek;14-05-1967;Ryki,Polska;SP;11278;inżynier rolnictwa;6;Lublin
456;Jacek Żalek;13-01-1973;Białystok,Polska;PO;8103;prawnik;24;Białystok
457;Stanisław Żelichowski;09-04-1944;Księżostany,Polska;PSL;6458;leśnik;34;Elbląg
458;Stanisław Żmijan;13-12-1956;Tarnogród,Polska;PO;14202;inż. budownictwa;7;Chełm
459;Ewa Żmuda-Trzebiatowska;08-09-1956;Szczecin,Polska;PO;4906;nauczyciel;41;Szczecin
460;Jerzy Żyżyński;06-08-1949;Łomża,Polska;PiS;9872;nauczyciel akademicki;21;Opole
461;Marek Gos;22-11-1969;Łopuszno,Polska;PSL;4131;urzędnik samorządowy;33;Kielce
462;Henryk Smolarz;03-09-1969;Lublin,Polska;PSL;6191;inżynier rolnik;6;Lublin
463;Andrzej Dąbrowski;25-12-1972;Wrocław,Polska;SP;4188;pracownik samorządowy;2;Wałbrzych
464;Jarosław Tomasz Jagiełło;15-05-1971;Łódź,Polska;niez.;6596;urzędnik;9;Łódź
465;Tomasz Kulesza;14-06-1959;Jarosław,Polska;PO;6976;nauczyciel;22;Krosno
466;Adam Żyliński;10-02-1958;Lidzbark Warmiński,Polska;PO;6588;administratywista;34;Elbląg
