NumerRSPO;Typ;Nazwa;Ulica;numerBudynku;numerLokalu;kodPocztowy;miejscowosc;kodterytorialnyUlica;kodterytorialnyMiejscowosc;kodterytorialnyGmina;Telefon;Faks;E-mail;stronaWww;wojewodztwo;powiat;gmina;REGON;NIP;publicznoscStatus;Kategoriauczniów;Specyfikaplacówki;Dyrektor;organProwadzący;TypOrganuProwadzącego;WojewództwoOrganuProwadzącego;PowiatOrganuProwadzącego;GminaOrganuProwadzącego;DataZałożenia;DataLikwidacji
21465;SM1;SZKOŁA MUZYCZNA I ST. IM. FRYDERYKA CHOPINA W BIAŁYMSTOKU;ul. gen. Józefa Bema;11;;15-369;Białystok;01014;0922410;2061011;799198220;;centrumsztuki@wp.pl;centrumsztuki.bialan.pl;PODLASKIE;Białystok;Białystok - gmina miejska;200731393;;niepubliczna bez uprawnień szkoły publicznej;Bez kategorii;brak specyfiki;;FUNDACJA PODLASKIE CENTRUM SZTUKI;Fundacje;PODLASKIE;Białystok;Białystok;1999-06-15;
75615;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. IM. PROF. WITALISA JERZEGO RACZKIEWICZA W GOŁDAPI;ul. Partyzantów;31;;19-500;Gołdap;15733;0977700;2818034;876151572;876151572;psm.ist.goldap@interia.pl;psmgoldap.pl.tl;WARMIŃSKO-MAZURSKIE;gołdapski;Gołdap - miasto;510885430;;publiczna;Bez kategorii;brak specyfiki;Dariusz Michałowski;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1999-09-01;
13309;SM1;SZKOŁA MUZYCZNA I STOPNIA;ul. Dolna;20;;88-200;Radziejów;04034;0986060;0411011;542853534;;smradziejow@vp.pl;;KUJAWSKO-POMORSKIE;radziejowski;Radziejów - gmina miejska;910953342;8891385370;publiczna;Bez kategorii;brak specyfiki;LILA FILUTOWSKA;POWIAT RADZIEJOWSKI;Powiat ziemski;KUJAWSKO-POMORSKIE;radziejowski;Radziejów;2000-09-01;
17403;SM1;SZKOŁA MUZYCZNA I STOPNIA W GOLENIOWIE FILIA W NOWOGARDZIE;ul. Plac Wolności;9;;72-200;Nowogard;16415;0979389;3204044;914313266;;smgoleniow.up@wp.pl;www.szkola-muzyczna-goleniow.pl;ZACHODNIOPOMORSKIE;goleniowski;Nowogard - miasto;00081666400027;;publiczna;Bez kategorii;brak specyfiki;;POWIAT GOLENIOWSKI;Powiat ziemski;ZACHODNIOPOMORSKIE;goleniowski;Goleniów;2000-10-01;
71610;SM1;SZKOŁA MUZYCZNA I STOPNIA IM. WŁADYSŁAWA JANA CIESIELSKIEGO W GORZOWIE WLKP.;ul. Teatralna;8;;66-400;Gorzów Wielkopolski;22723;0935140;0861011;957352489;;sm2@edu.gorzow.pl;http://sm2.edu.gorzow.pl;LUBUSKIE;Gorzów Wielkopolski;Gorzów Wielkopolski - gmina miejska;211194498;5992725860;publiczna;Bez kategorii;brak specyfiki;Izabela Serpina;GORZÓW WIELKOPOLSKI - MIASTO NA PRAWACH POWIATU;Miasto na prawach powiatu;LUBUSKIE;Gorzów Wielkopolski;Gorzów Wielkopolski;2001-08-28;
75370;SM1;SZKOŁA MUZYCZNA I STOPNIA IM. MICHAŁA SPISAKA;ul. Wirgiliusza Grynia;17;;41-300;Dąbrowa Górnicza;51807;0939473;2465011;322620162;;sekretariat@zsmdabrowa.edu.pl;www.zsmdabrowa.edu.pl;ŚLĄSKIE;Dąbrowa Górnicza;Dąbrowa Górnicza - gmina miejska;271504851;6292204711;publiczna;Bez kategorii;brak specyfiki;;DĄBROWA GÓRNICZA - MIASTO NA PRAWACH POWIATU;Miasto na prawach powiatu;ŚLĄSKIE;Dąbrowa Górnicza;Dąbrowa Górnicza;2001-04-25;
83827;SM1;SZKOLA MUZYCZNA I STOPNIA W UNIEJOWIE;ul. Targowa;21;;99-210;Uniejów;22659;0949359;1011044;632888164;632888164;smuniejow@wp.pl;www.smuniejow.szkolnastrona.pl;ŁÓDZKIE;poddębicki;Uniejów - miasto;731506707;8281321874;publiczna;Bez kategorii;brak specyfiki;KRZYSZTOF KOZIŃSKI;POWIAT PODDĘBICKI;Powiat ziemski;ŁÓDZKIE;poddębicki;Poddębice;2001-06-27;
112200;SM1;PRYWATNA PROFESJONALNA SZKOŁA MUZYCZNA I ST. IM. ALEKSANDRA DĘBSKIEGO W KRAKOWIE;ul. Józefa Dietla;93;10;31-031;Kraków-Śródmieście;03834;0951327;1261059;124214545;;sekretariat@muzycznaszkola.pl;www.muzycznaszkola.pl;MAŁOPOLSKIE;Kraków;Kraków-Śródmieście - delegatura;122812278;;niepubliczna o uprawnieniach szkoły publicznej;Bez kategorii;brak specyfiki;Łukasz Dębski;Łukasz Dębski;Osoba fizyczna;MAŁOPOLSKIE;Kraków;Kraków-Śródmieście;2003-06-25;
114162;SM1;SPOŁECZNA SZKOŁA MUZYCZNA I ST. W KROŚNIE;ul. Ignacego Paderewskiego;7;;38-400;Krosno;15529;0952410;1861011;;;szkola@ssmkrosno.pl;;PODKARPACKIE;Krosno;Krosno - gmina miejska;180967892;;niepubliczna o uprawnieniach szkoły publicznej;Bez kategorii;brak specyfiki;IWONA TYLKA;TOWARZYSTWO EDUKACJI ARTYSTYCZNEJ W KROŚNIE;Stowarzyszenia;PODKARPACKIE;Krosno;Krosno;2003-09-01;
49523;SM1;SZKOŁA MUZYCZNA I ST. W GARWOLINIE;ul. Jana Pawła II;5;;08-400;Garwolin;07123;0975285;1403011;661127071;;radek-mitura@wp.pl;muzyczna.garwolin.pl;MAZOWIECKIE;garwoliński;Garwolin - gmina miejska;146371000;;niepubliczna o uprawnieniach szkoły publicznej;Bez kategorii;brak specyfiki;Radosław Mitura;Radosław Mitura;Osoba fizyczna;MAZOWIECKIE;garwoliński;Garwolin;2005-04-07;
35060;SM1;SZKOŁA MUZYCZNA I STOPNIA W KRAŚNIKU;ul. ks. Jerzego Popiełuszki;1;;23-204;Kraśnik;17149;0956112;0607011;818254564;818254564;smuz@smuz.krasnik.pl;www.smuz.krasnik.pl;LUBELSKIE;kraśnicki;Kraśnik - gmina miejska;060048187;7151795610;publiczna;Bez kategorii;brak specyfiki;Karol Szymański;MIASTO KRAŚNIK;Gmina;LUBELSKIE;kraśnicki;Kraśnik;2005-09-01;
49524;SM1;PRYWATNA SZKOŁA MUZYCZNA I ST. W STAREJ WSI;;790;;36-200;Stara Wieś;;0346046;1802015;134342525;;mazurbarbara@interia.pl;psmstarawies.pl;PODKARPACKIE;brzozowski;Brzozów - obszar wiejski;180907097;;niepubliczna o uprawnieniach szkoły publicznej;Bez kategorii;brak specyfiki;Barbara Mazur;Barbara Mazur;Osoba fizyczna;PODKARPACKIE;rzeszowski;Tyczyn;2005-09-15;
73875;SM1;ARCHIDIECEZJALNA SZKOŁA MUZYCZNA I ST. W KRAKOWIE;ul. Prosta;35A;;30-814;Kraków-Podgórze;17547;0950960;1261049;662020250;;kontakt@asmkrakow.pl;asmkrakow.pl;MAŁOPOLSKIE;Kraków;Kraków-Podgórze - delegatura;122710721;6762068241;niepubliczna o uprawnieniach szkoły publicznej;Bez kategorii;brak specyfiki;Wiesław Delimat;ARCHIDIECEZJA KRAKOWSKA;Organizacje Wyznaniowe;MAŁOPOLSKIE;Kraków;Kraków-Śródmieście;2006-03-16;
103965;SM1;SZKOŁA MUZYCZNA I STOPNIA NR 2;ul. Rafała Krajewskiego;1;;51-690;Wrocław-Śródmieście;09782;0986952;0264069;713481357;;;;DOLNOŚLĄSKIE;Wrocław;Wrocław-Śródmieście - delegatura;020114573;8982070749;publiczna;Bez kategorii;brak specyfiki;;WROCŁAW MIASTO NA PRAWACH POWIATU;Miasto na prawach powiatu;DOLNOŚLĄSKIE;Wrocław;Wrocław-Stare Miasto;2005-09-01;
10093;SM1;SZKOŁA MUZYCZNA I STOPNIA W PIŃCZOWIE;ul. Szkolna;2;;28-400;Pińczów;21970;0947580;2608044;413577341;413572844;szkola.muzyczna@pinczow.com;muz1.pinczow.com;ŚWIĘTOKRZYSKIE;pińczowski;Pińczów - miasto;260101314;6621777314;publiczna;Bez kategorii;brak specyfiki;;GMINA PIŃCZÓW;Gmina;ŚWIĘTOKRZYSKIE;pińczowski;Pińczów;2006-06-30;
129070;SM1;SZKOŁA MUZYCZNA I STOPNIA W WIELICZCE;ul. Rynek Górny;6;;32-020;Wieliczka;19258;0952232;1219054;122783113;122783113;sekretariat@smuzwieliczka.edu.pl;www.smuzwieliczka.edu.pl;MAŁOPOLSKIE;wielicki;Wieliczka - miasto;362464555;6831979231;publiczna;Bez kategorii;brak specyfiki;;GMINA WIELICZKA;Gmina;MAŁOPOLSKIE;wielicki;Wieliczka;2006-08-17;
24414;SM1;SZKOŁA MUZYCZNA I STOPNIA W ŁĄCKU;;23;;33-390;Łącko;;0445104;1210092;184446053;184446053;szkola.muzyczna.lacko@poczta.onet.pl;www.smlacko.pl;MAŁOPOLSKIE;nowosądecki;Łącko - gmina wiejska;120503640;7343246879;publiczna;Bez kategorii;brak specyfiki;Stanisław Strączek;GMINA ŁĄCKO;Gmina;MAŁOPOLSKIE;nowosądecki;Łącko;2007-06-22;
24580;SM1;SZKOŁA MUZYCZNA I  STOPNIA W STARYM SĄCZU;ul. Kazimierza Wielkiego;14;;33-340;Stary Sącz;08265;0963359;1210164;183000193;;sm.ss@wp.pl;;MAŁOPOLSKIE;nowosądecki;Stary Sącz - miasto;120519545;7343263398;publiczna;Bez kategorii;brak specyfiki;Joanna Ustarbowska-Dudka;GMINA STARY SĄCZ;Gmina;MAŁOPOLSKIE;nowosądecki;Stary Sącz;2007-04-26;
105840;SM1;NIEPUBLICZNA SZKOŁA MUZYCZNA I ST. IM. FRYDERYKA CHOPINA W OSTROWCU ŚWIĘTOKRZYSKIM;ul. Żabia;40;;27-400;Ostrowiec Świętokrzyski;26367;0947308;2607011;501304004;;szkola.chopin@wp.pl;szkolachopin.pl;ŚWIĘTOKRZYSKIE;ostrowiecki;Ostrowiec Świętokrzyski - gmina miejska;260659157;;niepubliczna o uprawnieniach szkoły publicznej;Bez kategorii;brak specyfiki;;Ewa Pytel;Osoba fizyczna;ŚWIĘTOKRZYSKIE;ostrowiecki;Ostrowiec Świętokrzyski;2007-12-01;
4130;SM1;SZKOŁA MUZYCZNA I STOPNIA W KOZIENICACH;ul. Warszawska;29;;26-900;Kozienice;23682;0973524;1407054;0486145082;0486145082;sekretariat@muzycznakozienice.pl;muzycznakozienice.pl;MAZOWIECKIE;kozienicki;Kozienice - miasto;141890556;8121889732;publiczna;Bez kategorii;brak specyfiki;ZDZISŁAW WŁODARSKI;GMINA KOZIENICE;Gmina;MAZOWIECKIE;kozienicki;Kozienice;2009-08-31;
55414;SM1;SZKOŁA MUZYCZNA I STOPNIA IM. WOJCIECHA KILARA;ul. Legionów Piłsudskiego;1;;17-300;Siemiatycze;10772;0923360;2010011;856560303;;sm@siemiatycze.eu;;PODLASKIE;siemiatycki;Siemiatycze - gmina miejska;200227559;5441511382;publiczna;Bez kategorii;brak specyfiki;AGNIESZKA SITARSKA;MIASTO SIEMIATYCZE;Gmina;PODLASKIE;siemiatycki;Siemiatycze;2008-09-01;
63278;SM1;PUBLICZNA SZKOŁA MUZYCZNA I STOPNIA W GDOWIE;;2;;32-420;Gdów;;0317889;1219022;122515222;122515222;szkolamuzycznagdow@neostrada.pl;www.sm.gdow.pl;MAŁOPOLSKIE;wielicki;Gdów - gmina wiejska;120739896;6832020536;publiczna;Bez kategorii;brak specyfiki;Adam Czyżowski;GMINA GDÓW;Gmina;MAŁOPOLSKIE;wielicki;Gdów;2008-03-06;
48618;SM1;SZKOŁA MUZYCZNA I STOPNIA IM. FRYDERYKA CHOPINA W SOLCU KUJAWSKIM;ul. 23 Stycznia;13;;86-050;Solec Kujawski;21457;0929552;0403084;605469610;;psm@psm.soleckujawski.pl;http://www.psm.soleckujawski.pl/;KUJAWSKO-POMORSKIE;bydgoski;Solec Kujawski - miasto;340626791;5542846629;publiczna;Bez kategorii;brak specyfiki;Wiesław Nowak;GMINA SOLEC KUJAWSKI;Gmina;KUJAWSKO-POMORSKIE;bydgoski;Solec Kujawski;2009-03-26;
68554;SM1;KATOLICKA NIEPUBLICZNA SZKOŁA MUZYCZNA I ST. W ŚREMIE;ul. Stanisława Staszica;1;;63-100;Śrem;21071;0971560;3026044;616253710;;szkola.muzyczna@kcek.pl;kcek.pl;WIELKOPOLSKIE;śremski;Śrem - miasto;302261474;;niepubliczna o uprawnieniach szkoły publicznej;Bez kategorii;brak specyfiki;;PARAFIA RZYMSKOKATOLICKA P.W. NAJŚWIĘTSZEGO SECRA JEZUSA W ŚREMIE;Organizacje Wyznaniowe;WIELKOPOLSKIE;śremski;Śrem;2010-03-31;
68570;SM1;NIEPUBLICZNA SZKOŁA MUZYCZNA I ST. ARTE W WARSZAWIE;ul. Ludwika Hirszfelda;11;;02-776;Ursynów;06667;0988833;1465138;222243579;;e.jancewicz@op.pl;www.artemuzyczna.pl;MAZOWIECKIE;Warszawa;Ursynów - dzielnica;146438476;;niepubliczna bez uprawnień szkoły publicznej;Bez kategorii;brak specyfiki;Elżbieta Jancewicz;Elżbieta Jancewicz;Osoba fizyczna;MAZOWIECKIE;Warszawa;Praga-Południe;2010-03-25;
68579;SM1;NIEPUBLICZNA SZKOŁA MUZYCZNA I ST. W LESKU;ul. Kościuszki;7;;38-600;Lesko;09572;0953409;1821034;134698361;;szkolamuzyczna.lesko@gmail.com;;PODKARPACKIE;leski;Lesko - miasto;180906726;;niepubliczna o uprawnieniach szkoły publicznej;Bez kategorii;brak specyfiki;Malwina Zych-Oklejewicz;BIESZCZADZKA FUNDACJA ROZWOJU KULTURY I EDUKACJI;Fundacje;PODKARPACKIE;sanocki;Zagórz;2009-07-16;
74188;SM1;SZKOŁA MUZYCZNA I STOPNIA W CZASŁAWIU;;105;;32-415;Czasław;;0332452;1209052;122715501;122715501;smczaslaw@interia.pl;;MAŁOPOLSKIE;myślenicki;Raciechowice - gmina wiejska;120964274;6812008199;publiczna;Bez kategorii;brak specyfiki;Beata Miętka;GMINA RACIECHOWICE;Gmina;MAŁOPOLSKIE;myślenicki;Raciechowice;2009-09-01;
4178;SM1;SZKOŁA MUZYCZNA I STOPNIA IM. JULIUSZA ŁUCIUKA W MIKLUSZOWICACH;;228;;32-708;Mikluszowice;;0317458;1201032;1228117123;;smmikluszowice@gmail.com;;MAŁOPOLSKIE;bocheński;Drwinia - gmina wiejska;121851307;8681955080;publiczna;Bez kategorii;brak specyfiki;Magdalena SIUDYSZEWSKA-DUMICZ;GMINA DRWINIA;Gmina;MAŁOPOLSKIE;bocheński;Drwinia;2011-08-31;
20976;SM1;SZKOŁA MUZYCZNA I STOPNIA W TRZCIANIE;;3;;32-733;Trzciana;;0839317;1201082;146136413;146136011;pgtrzciana@wp.pl;;MAŁOPOLSKIE;bocheński;Trzciana - gmina wiejska;121272940;8681936852;publiczna;Bez kategorii;brak specyfiki;;GMINA TRZCIANA;Gmina;MAŁOPOLSKIE;bocheński;Trzciana;2010-06-29;
24185;SM1;SZKOŁA MUZYCZNA I STOPNIA W ROPCZYCACH;ul. Armii Krajowej;7;;39-100;Ropczyce;00432;0974825;1815034;172227132;172227132;smuzyczna@ropczyce.info;;PODKARPACKIE;ropczycko-sędziszowski;Ropczyce - miasto;180604853;8181702878;publiczna;Bez kategorii;brak specyfiki;Janusz Wojnarowski;GMINA ROPCZYCE;Gmina;PODKARPACKIE;ropczycko-sędziszowski;Ropczyce;2010-08-27;
29337;SM1;POWIATOWA SZKOŁA MUZYCZNA I STOPNIA W DYWITACH;ul. Spółdzielcza;4;;11-001;Dywity;20696;0472963;2814042;895237211;895237211;sekretariat@psmdywity.org;www.psmdywity.org;WARMIŃSKO-MAZURSKIE;olsztyński;Dywity - gmina wiejska;280535735;;publiczna;Bez kategorii;brak specyfiki;Janusz Ciepliński;POWIAT OLSZTYŃSKI;Powiat ziemski;WARMIŃSKO-MAZURSKIE;Olsztyn;Olsztyn;2010-06-29;
64485;SM1;SZKOŁA MUZYCZNA I STOPNIA W ROŻNOWIE;;638;;33-316;Rożnów;;0426526;1210032;602478488;;s.muz.roznow@wp.pl;www.smuz-roznow.iaw.pl;MAŁOPOLSKIE;nowosądecki;Gródek nad Dunajcem - gmina wiejska;121301676;7343450798;publiczna;Bez kategorii;brak specyfiki;Andrzej Krupczyński;GMINA GRÓDEK NAD DUNAJCEM;Gmina;MAŁOPOLSKIE;nowosądecki;Gródek nad Dunajcem;2010-09-01;
68567;SM1;NIEPUBLICZNA SZKOŁA MUZYCZNA I ST. MOZART W KRAKOWIE;ul. Królowej Jadwigi;227;;30-218;Kraków-Krowodrza;10003;0950470;1261029;519635053;;info@szkolamozart.pl;szkolamozart.pl;MAŁOPOLSKIE;Kraków;Kraków-Krowodrza - delegatura;122696760;;niepubliczna o uprawnieniach szkoły publicznej;Bez kategorii;brak specyfiki;Maja Minecka;Anna Magiera;Osoba fizyczna;MAŁOPOLSKIE;Kraków;Kraków-Krowodrza;2011-01-18;
107105;SM1;SZKOŁA MUZYCZNA I STOPNIA W NOWYM MIEŚCIE LUBAWSKIM;ul. Tysiąclecia;33;;13-300;Nowe Miasto Lubawskie;23270;0983563;2812011;564742693;;;;WARMIŃSKO-MAZURSKIE;nowomiejski;Nowe Miasto Lubawskie - gmina miejska;280489343;8771465385;publiczna;Bez kategorii;brak specyfiki;;GMINA MIEJSKA NOWE MIASTO LUBAWSKIE;Gmina;WARMIŃSKO-MAZURSKIE;nowomiejski;Nowe Miasto Lubawskie;2010-09-01;
3198;SM1;SZKOŁA MUZYCZNA I STOPNIA W ŻĘBOCINIE;;65;;32-100;Żębocin;;0332400;1214055;123864542;;muzyczna_zebocin@op.pl;http://www.zs-zebocin.d2.pl/index.php?school=2&command=muz_home&home=szkola;MAŁOPOLSKIE;proszowicki;Proszowice - obszar wiejski;122642333;;publiczna;Bez kategorii;brak specyfiki;;GMINA PROSZOWICE;Gmina;MAŁOPOLSKIE;proszowicki;Proszowice;2012-08-31;
13588;SM1;PUBLICZNA SZKOŁA MUZYCZNA I STOPNIA W GOLUBIU-DOBRZYNIU;ul. Marii Konopnickiej;15;;87-400;Golub-Dobrzyń;09186;0983155;0405011;535353977;;muzyczna@golub-dobrzyn.com.pl;www.psmgd.pl;KUJAWSKO-POMORSKIE;golubsko-dobrzyński;Golub-Dobrzyń - gmina miejska;341136959;5030075560;publiczna;Bez kategorii;brak specyfiki;Krzysztof Sypek;POWIAT GOLUBSKO-DOBRZYŃSKI;Powiat ziemski;KUJAWSKO-POMORSKIE;golubsko-dobrzyński;Golub-Dobrzyń;2011-09-01;
15644;SM1;ZESPÓŁ SZKÓŁ W MOŃKACH SZKOŁA MUZYCZNA I STOPNIA W MOŃKACH;ul. Planetarna;13;;19-100;Mońki;16425;0923348;2008064;857162795;;;;PODLASKIE;moniecki;Mońki - miasto;200618001;5461388683;publiczna;Bez kategorii;brak specyfiki;;GMINA MOŃKI;Gmina;PODLASKIE;moniecki;Mońki;2011-09-01;
20040;SM1;SAMORZĄDOWA SZKOŁA MUZYCZNA I STOPNIA W TARNOWIE PODGÓRNYM;ul. Szkolna;5;;62-080;Tarnowo Podgórne;21970;0597446;3021172;618166006;;sekretariat@ssm-tp.pl;www.ssm-tp.pl;WIELKOPOLSKIE;poznański;Tarnowo Podgórne - gmina wiejska;301801069;7811870922;publiczna;Bez kategorii;brak specyfiki;Marzena Łopińska;GMINA TARNOWO PODGÓRNE;Gmina;WIELKOPOLSKIE;poznański;Tarnowo Podgórne;2011-06-21;
20233;SM1;SZKOŁA MUZYCZNA I STOPNIA IM. OSKARA KOLBERGA W RUSZKOWICACH;ul. Szkolna;4;;26-422;Ruszkowice;21970;0615500;1423012;486755307;486755307;gimborkowice@wp.pl;;MAZOWIECKIE;przysuski;Borkowice - gmina wiejska;143327167;;publiczna;Bez kategorii;brak specyfiki;Waldemar Cichawa;GMINA BORKOWICE;Gmina;MAZOWIECKIE;przysuski;Borkowice;2011-05-25;
70140;SM1;NIEPUBLICZNA SZKOŁA MUZYCZNA I ST. IM. IGNACEGO JANA PADEREWSKIEGO W OPATOWIE;ul. Klasztorna;3a;;27-500;Opatów;08485;0980671;2606044;693514972;;ustaniek@gmail.com;szkolamuzyczna.info.pl;ŚWIĘTOKRZYSKIE;opatowski;Opatów - miasto;260649064;;niepubliczna bez uprawnień szkoły publicznej;Bez kategorii;brak specyfiki;Urszula Staniek;Urszula Staniek;Osoba fizyczna;ŚWIĘTOKRZYSKIE;opatowski;Opatów;2011-07-12;
73983;SM1;SZKOŁA MUZYCZNA I STOPNIA W GŁOGOWIE MAŁOPOLSKIM;ul. Rynek;14;;36-060;Głogów Małopolski;19253;0974328;1816064;177897290;;sm.glogow@gmail.com;http://sm.glogow-mlp.pl;PODKARPACKIE;rzeszowski;Głogów Małopolski - miasto;180752163;5170353378;publiczna;Bez kategorii;brak specyfiki;Agnieszka Grzesik;GMINA GŁOGÓW MAŁOPOLSKI;Gmina;PODKARPACKIE;rzeszowski;Głogów Małopolski;2011-05-26;
85549;SM1;SZKOŁA MUZYCZNA I STOPNIA W GĄBINIE;ul. Aleja Jana Pawła II;16;;09-530;Gąbin;33262;0968871;1419064;242680655;242680655;sm_gabin@interia.pl;http://www.szkolamuzyczna-gabin.pl/;MAZOWIECKIE;płocki;Gąbin - miasto;143177680;7743205217;publiczna;Bez kategorii;brak specyfiki;Jarosław Domagała;GMINA GĄBIN;Gmina;MAZOWIECKIE;płocki;Gąbin;2011-09-01;
109372;SM1;NIEPUBLICZNA SZKOŁA MUZYCZNA I ST.  AKOLADA W KOMOROWIE;ul. Kwiatów Polnych;6;;05-806;Pęcice;10567;0005279;1421042;795552070;;kontakt@akolada.edu.pl;akolada.edu.pl;MAZOWIECKIE;pruszkowski;Michałowice - gmina wiejska;146527547;;niepubliczna o uprawnieniach szkoły publicznej;Bez kategorii;brak specyfiki;Magdalena Artmam-Zalewska;MAGDALENA ARTMAN-ZALEWSKA;Osoba fizyczna;MAZOWIECKIE;pruszkowski;Brwinów;2011-10-05;
3082;SM1;SZKOŁA MUZYCZNA I STOPNIA;;490;;34-642;Dobra;;0423172;1207032;183330454;183330454;szkolamuzyczna@gminadobra.pl;www.dobramuzyczna.pl;MAŁOPOLSKIE;limanowski;Dobra - gmina wiejska;122633080;7372201862;publiczna;Bez kategorii;brak specyfiki;PAWEŁ MIŚKOWICZ;GMINA DOBRA;Gmina;MAŁOPOLSKIE;limanowski;Dobra;2012-07-24;
4394;SM1;SZKOŁA MUZYCZNA I STOPNIA W DYDNI;;221;;36-204;Dydnia;;0350668;1802032;;;smdydnia@poczta.onet.pl;smdydnia.pl;PODKARPACKIE;brzozowski;Dydnia - gmina wiejska;180878510;6861685066;publiczna;Bez kategorii;brak specyfiki;Elżbieta Przystasz;GMINA DYDNIA;Gmina;PODKARPACKIE;brzozowski;Dydnia;2012-09-01;
4594;SM1;SZKOŁA MUZYCZNA I STOPNIA  W SUCHEJ BESKIDZKIEJ;ul. płk. Tadeusza Semika;3;;34-200;Sucha Beskidzka;27076;0925287;1215021;338733305;;smsucha@gmail.com;;MAŁOPOLSKIE;suski;Sucha Beskidzka - gmina miejska;122640860;;publiczna;Bez kategorii;brak specyfiki;Renata Trybała;GMINA SUCHA BESKIDZKA;Gmina;MAŁOPOLSKIE;suski;Sucha Beskidzka;2012-07-31;
6724;SM1;PUBLICZNA SZKOŁA MUZYCZNA I STOPNIA W LIPNIE;ul. Stefana Okrzei;3;;87-600;Lipno;14914;0985830;0408011;542343389;;muzycznalipno@wp.pl;szkolamuzycznalipno.c0.pl;KUJAWSKO-POMORSKIE;lipnowski;Lipno - gmina miejska;341320829;4660417719;publiczna;Bez kategorii;brak specyfiki;Ilona Gronkowska;POWIAT LIPNOWSKI;Powiat ziemski;KUJAWSKO-POMORSKIE;lipnowski;Lipno;2012-08-29;
6832;SM1;SZKOŁA MUZYCZNA I STOPNIA W PAŁECZNICY;ul. św. Jakuba;43;;32-109;Pałecznica;07078;0259614;1214042;413848645;;smuz.palecznica@interia.pl;;MAŁOPOLSKIE;proszowicki;Pałecznica - gmina wiejska;122647980;;publiczna;Bez kategorii;brak specyfiki;CZESŁAW DOŁEGA;GMINA PAŁECZNICA;Gmina;MAŁOPOLSKIE;proszowicki;Pałecznica;2012-09-01;
7936;SM1;SZKOŁA MUZYCZNA I STOPNIA IM. KRZYSZTOFA PENDERECKIEGO W BUSKU-ZDROJU;al. Adama Mickiewicza;22;;28-100;Busko-Zdrój;12735;0946651;2601014;882723419;;szkola@muzyczna.busko.pl;www.muzyczna.busko.pl;ŚWIĘTOKRZYSKIE;buski;Busko-Zdrój - miasto;260612291;6551971062;publiczna;Bez kategorii;brak specyfiki;Aleksandra Sikora;GMINA BUSKO-ZDRÓJ;Gmina;ŚWIĘTOKRZYSKIE;buski;Busko-Zdrój;2012-05-31;
8095;SM1;SZKOŁA MUZYCZNA I STOPNIA W BRZESKU;ul. Królowej Jadwigi;18;;32-800;Brzesko;10003;0981966;1202024;146853344;146853344;szkola.muzyczna@brzesko.pl;www.sm.brzesko.pl;MAŁOPOLSKIE;brzeski;Brzesko - miasto;122611491;8691981191;publiczna;Bez kategorii;brak specyfiki;Ilona Latocha-Dylewska;GMINA BRZESKO;Gmina;MAŁOPOLSKIE;brzeski;Brzesko;2011-11-23;
9899;SM1;SZKOŁA MUZYCZNA I STOPNIA W MILICZU;ul. Trzebnicka;4b;;56-300;Milicz;23073;0987130;0213034;713840183;;smmilicz@wp.pl;http://www.sp2milicz.pl;DOLNOŚLĄSKIE;milicki;Milicz - miasto;930744150;;publiczna;Bez kategorii;brak specyfiki;;GMINA MILICZ;Gmina;DOLNOŚLĄSKIE;milicki;Milicz;1994-09-13;
10131;SM1;SZKOŁA MUZYCZNA I STOPNIA IM. ZYGMUNTA NOSKOWSKIEGO;ul. bp. Dominika;13a;;81-402;Gdynia;04098;0934100;2262011;586220633;;szkolamuz.gdynia@wp.pl;;POMORSKIE;Gdynia;Gdynia - gmina miejska;000277411;;publiczna;Bez kategorii;brak specyfiki;;GDYNIA-MIASTO NA PRAWACH POWIATU;Miasto na prawach powiatu;POMORSKIE;Gdynia;Gdynia;1947-09-08;
10380;SM1;SAMORZĄDOWA SZKOŁA MUZYCZNA I STOPNIA W JEŻOWEM;;580a;;37-430;Jeżowe;;0795420;1812032;158794327;158794327;ssm_dyrektor@interia.pl;;PODKARPACKIE;niżański;Jeżowe - gmina wiejska;180883698;6020131464;publiczna;Bez kategorii;brak specyfiki;Marek Sękiel;GMINA JEŻOWE;Gmina;PODKARPACKIE;niżański;Jeżowe;2012-07-17;
12000;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. IM. WOJCIECHA KILARA W GRYFICACH;ul. Marszałka Józefa Piłsudskiego;3;;72-300;Gryfice;36029;0979053;3205024;913842733;913842733;szm@xl.wp.pl;szkola-muzyczna.neth.pl;ZACHODNIOPOMORSKIE;gryficki;Gryfice - miasto;006619054;;publiczna;Bez kategorii;brak specyfiki;Małgorzata Drelich;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1991-06-05;
