urzad;teryt;razem;razemKobiety;wiek;PSL;PiS;PO;SLD;PP;NP;teryt.bis;xteryt;name;areaH;areaKm;popThs;popKm;rankA;rankP;type;bb;center
Burmistrz Gminy Paczków;160707;2;1;41.00;0;0;0;0;0;2;160707;3;Paczków;7998;80;12770;160;1704;642;gmw;50.401996,16.908078 50.488689,17.160718;50.4453425,17.034398
Wójt Gminy Skoroszyce;160709;3;2;47.00;0;1;0;0;0;2;160709;2;Skoroszyce;10386;104;6229;60;1324;1440;gw;50.547358,17.270327 50.669456,17.479883;50.608407,17.375105
Wójt Gminy Chrząstowice;160901;1;0;57.00;0;0;0;0;0;1;160901;2;Chrząstowice;8235;82;6917;84;1668;1295;gw;50.609215,17.991726 50.704350,18.191129;50.6567825,18.0914275
Burmistrz Miasta Kluczborka;160402;2;0;57.00;0;0;0;0;0;2;160402;3;Kluczbork;21696;217;36116;166;265;146;gmw;50.893801,18.061414 51.060614,18.380633;50.9772075,18.2210235
Burmistrz Byczyny;160401;3;1;50.00;1;0;0;0;0;2;160401;3;Byczyna;18294;183;9424;52;434;919;gmw;51.037494,18.068002 51.174712,18.348055;51.106103,18.2080285
Wójt Gminy Lasowice Wielkie;160403;2;0;49.00;0;0;0;0;0;2;160403;2;Lasowice Wielkie;21104;211;6901;33;285;1301;gw;50.796834,18.092351 50.965553,18.360116;50.8811935,18.2262335
Burmistrz Wołczyna;160404;2;0;48.00;0;0;0;0;0;2;160404;3;Wołczyn;24097;241;13748;57;200;578;gmw;50.937994,17.924207 51.144738,18.189825;51.041366,18.057016
Burmistrz Prószkowa;160910;2;1;57.50;0;0;0;0;0;2;160910;3;Prószków;11826;118;9066;77;1079;964;gmw;50.501672,17.748132 50.642532,17.972306;50.572102,17.860219
Wójt Gminy Komprachcice;160904;1;0;47.00;0;0;0;0;0;1;160904;2;Komprachcice;5059;50;9064;179;2014;965;gw;50.582488,17.735735 50.670557,17.876540;50.6265225,17.8061375
Wójt Gminy Dobrzeń Wielki;160903;3;0;56.67;0;0;0;0;0;3;160903;2;Dobrzeń Wielki;6347;63;9410;148;1919;921;gw;50.737305,17.768842 50.839428,17.928725;50.7883665,17.8487835
Wójt Gminy Dąbrowa;160902;2;1;47.50;0;0;0;0;0;2;160902;2;Dąbrowa;11411;114;8213;72;1142;1080;gw;50.631494,17.657516 50.776098,17.880639;50.703796,17.7690775
Wójt Gminy Bircza;181301;4;0;45.25;0;1;0;0;0;3;181301;2;Bircza;25405;254;6656;26;172;1352;gw;49.588332,22.253640 49.772103,22.585022;49.6802175,22.419331
Wójt Gminy Dubiecko;181302;5;0;50.20;0;1;0;0;0;4;181302;2;Dubiecko;15425;154;9277;60;637;936;gw;49.732558,22.294739 49.890843,22.470628;49.8117005,22.3826835
Wójt Gminy Wiśniowa;181905;2;0;51.00;0;1;0;0;0;1;181905;2;Wiśniowa;8338;83;8122;97;1649;1095;gw;49.816313,21.541482 49.932289,21.730761;49.874301,21.6361215
Wójt Gminy Żurawica;181310;3;0;41.67;0;1;0;0;0;2;181310;2;Żurawica;9579;96;12964;135;1458;629;gw;49.791889,22.594219 49.903950,22.922128;49.8479195,22.7581735
Wójt Gminy Gorzyce;182002;2;1;46.00;1;1;0;0;0;0;182002;2;Gorzyce;6890;69;13292;193;1864;606;gw;50.598103,21.772393 50.739241,21.883910;50.668672,21.8281515
Wójt Gminy Medyka;181306;1;0;61.00;0;1;0;0;0;0;181306;2;Medyka (c);6062;61;6554;108;1944;1369;gw;49.736394,22.834369 49.867464,22.987732;49.801929,22.9110505
Burmistrz Miasta i Gminy Baranów Sandomierski;182001;2;0;39.50;0;1;0;0;0;1;182001;3;Baranów Sandomierski;12155;122;11980;99;1035;695;gmw;50.386067,21.482107 50.520816,21.690540;50.4534415,21.5863235
Wójt Gminy Krasiczyn;181304;3;0;50.00;0;1;0;0;0;2;181304;2;Krasiczyn;12436;124;5135;41;991;1699;gw;49.682066,22.533451 49.824400,22.737356;49.753233,22.6354035
Wójt Gminy Grębów;182003;3;2;52.33;0;1;0;0;0;2;182003;2;Grębów;18720;187;9926;53;408;870;gw;50.472885,21.711457 50.626050,21.990499;50.5494675,21.850978
Wójt Gminy Krzywcza;181305;2;0;56.50;0;1;0;0;0;1;181305;2;Krzywcza;9495;95;4924;52;1471;1748;gw;49.721089,22.418133 49.849104,22.606907;49.7850965,22.51252
Burmistrz Miasta i Gminy Nowa Dęba;182004;1;0;55.00;0;0;0;0;0;1;182004;3;Nowa Dęba;14341;143;18190;127;750;388;gmw;50.387786,21.612429 50.538910,21.866163;50.463348,21.739296
Wójt Gminy Cisna;182102;4;1;50.75;0;1;0;0;0;3;182102;2;Cisna;28726;287;1749;6;118;2284;gw;49.085863,22.222093 49.276761,22.553060;49.181312,22.3875765
Wójt Gminy Orły;181307;1;0;48.00;0;1;0;0;0;0;181307;2;Orły;7047;70;8879;126;1843;990;gw;49.834260,22.692454 49.925408,22.915600;49.879834,22.804027
Wójt Gminy Baligród;182101;3;1;51.33;0;1;0;0;0;2;182101;2;Baligród;15823;158;3142;20;615;2165;gw;49.231180,22.187379 49.414119,22.361835;49.3226495,22.274607
Wójt Gminy Stubno;181309;2;0;50.00;0;0;0;0;0;2;181309;2;Stubno;8870;89;3915;44;1552;2004;gw;49.841057,22.888186 49.949486,23.092851;49.8952715,22.9905185
Wójt Gminy Olszanica;182104;2;0;44.00;0;0;0;0;0;2;182104;2;Olszanica;9354;94;4965;53;1495;1739;gw;49.425561,22.362265 49.553535,22.533633;49.489548,22.447949
Burmistrz Miasta i Gminy Kańczuga;181405;3;0;51.67;0;0;0;0;0;3;181405;3;Kańczuga;10503;105;12422;118;1302;664;gmw;49.887895,22.303614 50.009488,22.492844;49.9486915,22.398229
Burmistrz Miasta i Gminy Lesko;182103;6;0;40.33;0;1;0;0;0;5;182103;3;Lesko;11139;111;11439;103;1196;746;gmw;49.379294,22.261703 49.550274,22.431745;49.464784,22.346724
Wójt Gminy Gać;181403;2;1;54.50;1;0;0;0;0;1;181403;2;Gać;3596;36;4618;128;2118;1829;gw;49.997856,22.341283 50.053885,22.468395;50.0258705,22.404839
Wójt Gminy Solina;182105;3;0;45.67;0;1;0;0;0;2;182105;2;Solina;18452;185;5311;29;427;1653;gw;49.256645,22.308342 49.455006,22.521676;49.3558255,22.415009
Burmistrz Miasta Przeworska;181401;3;0;43.33;0;1;0;0;0;2;181401;1;Przeworsk;2213;22;15452;698;2214;495;gm;50.021035,22.467549 50.087993,22.534763;50.054514,22.501156
Prezydent Miasta Krosna;186101;4;1;49.25;0;1;0;1;0;2;186101;1;Krosno;4350;44;46600;1071;2068;103;mm;49.646586,21.694717 49.732001,21.811347;49.6892935,21.753032
Wójt Gminy Adamówka;181402;2;0;46.00;1;1;0;0;0;0;181402;2;Adamówka;13428;134;4081;30;850;1960;gw;50.207307,22.573617 50.305919,22.841302;50.256613,22.7074595
Prezydent Miasta Rzeszowa;186301;5;0;55.20;0;1;0;0;1;3;186301;1;Rzeszów (a);12041;120;189662;1575;1048;18;mm;49.933452,21.858684 50.078321,22.093970;50.0058865,21.976327
Wójt Gminy Jawornik Polski;181404;1;0;46.00;0;0;0;0;0;1;181404;2;Jawornik Polski;6293;63;4475;71;1925;1861;gw;49.872367,22.232347 49.958436,22.380302;49.9154015,22.3063245
Prezydent Miasta Przemyśla;186201;4;0;47.00;0;1;1;1;0;1;186201;1;Przemyśl (c);4617;46;61808;1339;2051;69;mm;49.746351,22.713109 49.820646,22.855421;49.7834985,22.784265
Burmistrz Miasta i Gminy Sieniawa;181407;3;0;55.33;1;0;0;0;0;2;181407;3;Sieniawa;12765;128;7022;55;949;1275;gmw;50.128843,22.552417 50.243918,22.777826;50.1863805,22.6651215
Wójt Gminy Łańcut;181004;2;0;48.00;0;0;0;0;0;2;181004;2;Łańcut;10630;107;21770;205;1288;306;gw;49.966814,22.122684 50.097381,22.383799;50.0320975,22.2532415
Wójt Gminy Żołynia;181007;3;0;59.33;0;0;0;0;0;3;181007;2;Żołynia;5671;57;6994;123;1976;1280;gw;50.114121,22.246979 50.205695,22.386367;50.159908,22.316673
Wójt Gminy Rakszawa;181006;3;1;44.67;0;0;0;0;0;3;181006;2;Rakszawa;6646;66;7286;110;1887;1232;gw;50.120671,22.161277 50.246768,22.284757;50.1837195,22.223017
Wójt Gminy Czermin;181103;3;0;47.67;0;1;0;0;0;2;181103;2;Czermin;8021;80;7032;88;1701;1272;gw;50.265230,21.208832 50.376128,21.373195;50.320679,21.2910135
Wójt Gminy Borowa;181102;5;0;59.40;0;1;0;0;0;4;181102;2;Borowa;5531;55;5566;101;1983;1585;gw;50.341032,21.245350 50.430544,21.396194;50.385788,21.320772
Wójt Gminy Gawłuszowice;181104;2;0;56.00;0;1;0;0;0;1;181104;2;Gawłuszowice;3401;34;2764;81;2136;2216;gw;50.365770,21.339071 50.441203,21.455699;50.4034865,21.397385
Wójt Gminy Padew Narodowa;181106;2;0;40.00;0;1;0;0;0;1;181106;2;Padew Narodowa;7125;71;5376;75;1831;1634;gw;50.376635,21.400087 50.496438,21.596366;50.4365365,21.4982265
Burmistrz Radomyśla Wielkiego;181108;2;0;51.00;0;1;0;0;0;1;181108;3;Radomyśl Wielki;15978;160;14225;89;598;554;gmw;50.131294,21.142206 50.256873,21.395341;50.1940835,21.2687735
Wójt Gminy Jaśliska;180710;3;1;49.00;0;1;0;0;0;2;180710;2;Jaśliska;16586;166;2225;13;550;2268;gw;49.346266,21.731596 49.489473,21.972477;49.4178695,21.8520365
Burmistrz Przecławia;181107;2;1;56.00;0;1;0;0;0;1;181107;3;Przecław;13419;134;11898;89;853;703;gmw;50.159351,21.355823 50.271057,21.611306;50.215204,21.4835645
Wójt Gminy Grodzisko Dolne;180802;2;0;51.50;0;1;0;0;0;1;180802;2;Grodzisko Dolne;7857;79;8050;102;1723;1104;gw;50.123015,22.352088 50.206909,22.537904;50.164962,22.444996
Burmistrz Leżajska;180801;3;0;49.00;0;1;0;0;0;2;180801;1;Leżajsk;2058;21;13990;680;2231;563;gm;50.235499,22.371619 50.295678,22.465613;50.2655885,22.418616
Wójt Gminy Kuryłówka;180803;4;2;41.00;0;0;0;0;0;4;180803;2;Kuryłówka;14194;142;5703;40;760;1547;gw;50.256805,22.405448 50.400165,22.687965;50.328485,22.5467065
Burmistrz Miasta i Gminy Nowa Sarzyna;180805;2;1;45.00;0;1;0;0;0;1;180805;3;Nowa Sarzyna;14373;144;21629;150;747;308;gmw;50.252475,22.188716 50.396776,22.402655;50.3246255,22.2956855
Burmistrz Miasta i Gminy Oleszyce;180906;2;0;53.00;0;1;0;0;0;1;180906;3;Oleszyce;15184;152;6423;42;656;1400;gmw;50.064920,22.850205 50.220687,23.095944;50.1428035,22.9730745
Burmistrz Miasta i Gminy Cieszanów;180902;2;0;54.00;0;1;0;0;0;1;180902;3;Cieszanów;21944;219;7328;33;258;1226;gmw;50.184675,23.012088 50.354320,23.299663;50.2694975,23.1558755
Burmistrz Miasta Lubaczowa;180901;5;1;52.80;0;1;0;0;1;3;180901;1;Lubaczów;2573;26;12101;470;2191;683;gm;50.122316,23.076888 50.192283,23.163655;50.1572995,23.1202715
Wójt Gminy Lubaczów;180904;2;0;51.00;1;1;0;0;0;0;180904;2;Lubaczów (c);20285;203;9195;45;329;943;gw;50.065817,23.028162 50.209447,23.357728;50.137632,23.192945
Wójt Gminy Horyniec-Zdrój;180903;2;1;38.50;0;1;0;0;0;1;180903;2;Horyniec-Zdrój (c);20310;203;4785;24;326;1788;gw;50.144129,23.251772 50.307654,23.547882;50.2258915,23.399827
Burmistrz Miasta i Gminy Narol;180905;2;0;46.00;0;1;0;0;0;1;180905;3;Narol;20347;203;8134;40;322;1092;gmw;50.269653,23.123984 50.410542,23.436153;50.3400975,23.2800685
Wójt Gminy Wielkie Oczy;180908;2;0;34.50;0;0;0;0;0;2;180908;2;Wielkie Oczy;14624;146;3852;26;715;2022;gw;49.980787,23.002184 50.104887,23.251066;50.042837,23.126625
Wójt Gminy Roźwienica;180410;1;0;52.00;0;0;0;0;0;1;180410;2;Roźwienica;6875;69;6232;91;1865;1438;gw;49.838557,22.514953 49.982899,22.645995;49.910728,22.580474
Wójt Gminy Dzikowiec;180606;4;1;49.25;1;0;0;0;0;3;180606;2;Dzikowiec;12156;122;6509;54;1034;1382;gw;50.244076,21.789185 50.414764,21.994680;50.32942,21.8919325
Burmistrz Kolbuszowej;180602;2;0;49.00;0;1;0;0;0;1;180602;3;Kolbuszowa;17084;171;24829;145;509;248;gmw;50.150983,21.682400 50.284518,21.934651;50.2177505,21.8085255
Wójt Gminy Cmolas;180601;1;0;62.00;0;0;0;0;0;1;180601;2;Cmolas;13399;134;8085;60;856;1101;gw;50.263327,21.566860 50.389958,21.840324;50.3266425,21.703592
Wójt Gminy Niwiska;180604;1;1;60.00;0;0;0;0;0;1;180604;2;Niwiska;9486;95;6044;64;1474;1480;gw;50.176014,21.529724 50.302126,21.731004;50.23907,21.630364
Wójt Gminy Majdan Królewski;180603;1;0;56.00;0;0;0;0;0;1;180603;2;Majdan Królewski;15526;155;9858;63;629;879;gw;50.332733,21.635421 50.482245,21.904702;50.407489,21.7700615
Wójt Gminy Raniżów;180605;2;0;47.50;0;1;0;0;0;1;180605;2;Raniżów;9666;97;7076;73;1441;1265;gw;50.230697,21.891812 50.333672,22.096591;50.2821845,21.9942015
Burmistrz Miasta Jasła;180501;2;0;58.50;0;0;0;0;0;2;180501;1;Jasło;3652;37;35445;971;2115;151;gm;49.710437,21.401780 49.783583,21.541602;49.74701,21.471691
Wójt Gminy Dębowiec;180503;4;0;53.00;0;1;0;0;0;3;180503;2;Dębowiec;8647;86;8822;102;1587;994;gw;49.570466,21.326662 49.707062,21.523272;49.638764,21.424967
Wójt Gminy Brzyska;180502;1;0;41.00;0;0;0;0;0;1;180502;2;Brzyska;4487;45;6545;146;2061;1371;gw;49.767145,21.290339 49.873028,21.427750;49.8200865,21.3590445
Wójt Gminy Nowy Żmigród;180507;4;1;44.50;0;0;0;0;0;4;180507;2;Nowy Żmigród;10359;104;9149;88;1330;951;gw;49.532220,21.430938 49.669149,21.625199;49.6006845,21.5280685
Burmistrz Kołaczyc;180505;2;1;60.50;0;1;0;0;0;1;180505;3;Kołaczyce;6110;61;8964;147;1941;980;gmw;49.774413,21.409067 49.840546,21.560157;49.8074795,21.484612
Wójt Gminy Krempna;180506;2;0;52.00;0;0;0;0;0;2;180506;2;Krempna;20386;205;1887;9;321;2280;gw;49.412250,21.358474 49.575931,21.614160;49.4940905,21.486317
Burmistrz Brzostku;180302;2;0;44.00;0;1;0;0;0;1;180302;3;Brzostek;12233;122;13091;107;1020;619;gmw;49.828609,21.326614 49.955068,21.523523;49.8918385,21.4250685
Wójt Gminy Żyraków;180307;3;0;53.67;0;1;0;0;0;2;180307;2;Żyraków;11038;110;13961;126;1218;565;gw;50.046950,21.295007 50.169618,21.483190;50.108284,21.3890985
Burmistrz Pilzna;180306;2;1;48.00;0;1;0;0;0;1;180306;3;Pilzno;16513;165;18176;110;555;389;gmw;49.919123,21.149072 50.031890,21.424252;49.9755065,21.286662
Wójt Gminy Rokietnica;180409;3;1;56.00;1;1;0;0;0;1;180409;2;Rokietnica;5708;57;4376;77;1971;1889;gw;49.837387,22.563389 49.931030,22.702126;49.8842085,22.6327575
Wójt Gminy Chłopice;180403;4;0;43.75;1;1;0;0;0;2;180403;2;Chłopice;4920;49;5556;113;2026;1588;gw;49.904094,22.624619 49.974073,22.787536;49.9390835,22.7060775
Burmistrz Miasta Jarosławia;180401;3;0;45.67;0;1;0;0;0;2;180401;1;Jarosław;3461;35;37892;1095;2133;140;gm;49.993282,22.616875 50.086808,22.724213;50.040045,22.670544
Burmistrz Miasta Radymna;180402;4;0;53.00;0;1;0;0;0;3;180402;1;Radymno;1362;14;5335;392;2289;1646;gm;49.931250,22.786919 49.976728,22.872491;49.953989,22.829705
Wójt Gminy Laszki;180405;2;0;41.00;0;1;0;0;0;1;180405;2;Laszki;13800;138;6976;51;804;1284;gw;49.963963,22.769551 50.077888,23.070949;50.0209255,22.92025
Wójt Gminy Pawłosiów;180406;2;0;45.50;0;1;0;0;0;1;180406;2;Pawłosiów;4742;47;8467;179;2039;1043;gw;49.969287,22.551066 50.043617,22.698282;50.006452,22.624674
Burmistrz Pruchnika;180407;2;0;64.00;0;1;0;0;0;1;180407;3;Pruchnik;8034;80;9801;122;1698;886;gmw;49.842681,22.410473 49.952612,22.569291;49.8976465,22.489882
Wójt Gminy Radymno;180408;4;1;50.75;0;1;0;0;0;3;180408;2;Radymno (c);18218;182;11448;63;437;744;gw;49.887339,22.749727 50.005875,23.153840;49.946607,22.9517835
Wójt Gminy Wiązownica;180411;2;0;46.50;0;1;0;0;0;1;180411;2;Wiązownica;24398;245;11705;48;193;719;gw;50.021910,22.640708 50.212929,22.953671;50.1174195,22.7971895
Burmistrz Miasta Sanoka;181701;4;0;49.25;0;1;0;1;0;2;181701;1;Sanok;3808;38;37980;997;2104;137;gm;49.522809,22.147385 49.590270,22.283778;49.5565395,22.2155815
Wójt Gminy Przeworsk;181406;1;0;46.00;0;1;0;0;0;0;181406;2;Przeworsk;9080;91;14892;164;1525;517;gw;50.001467,22.373699 50.116642,22.605665;50.0590545,22.489682
Wójt Gminy Zarzecze;181409;4;1;44.25;1;1;0;0;0;2;181409;2;Zarzecze;4918;49;7223;147;2027;1248;gw;49.944845,22.467705 50.038001,22.580673;49.991423,22.524189
Wójt Gminy Bukowsko;181703;1;0;36.00;0;1;0;0;0;0;181703;2;Bukowsko;13693;137;5567;41;815;1584;gw;49.392974,21.948896 49.545533,22.139846;49.4692535,22.044371
Wójt Gminy Tryńcza;181408;1;0;51.00;0;1;0;0;0;0;181408;2;Tryńcza;7006;70;8459;121;1847;1045;gw;50.076015,22.430755 50.202978,22.602677;50.1394965,22.516716
Wójt Gminy Sanok;181705;2;1;48.00;0;1;0;0;0;1;181705;2;Sanok;23170;232;17913;77;225;402;gw;49.475389,22.057490 49.685733,22.363793;49.580561,22.2106415
Wójt Gminy Wielopole Skrzyńskie;181505;3;1;44.00;0;1;0;0;0;2;181505;2;Wielopole Skrzyńskie;9348;93;8260;88;1496;1072;gw;49.887198,21.498961 50.000493,21.697253;49.9438455,21.598107
Wójt Gminy Zarszyn;181708;3;2;42.33;0;1;0;0;0;2;181708;2;Zarszyn;10540;105;9356;89;1300;925;gw;49.488511,21.923752 49.636613,22.097110;49.562562,22.010431
Wójt Gminy Iwierzyce;181501;2;0;48.50;0;1;0;0;0;1;181501;2;Iwierzyce;6552;66;7736;118;1899;1152;gw;49.964159,21.688269 50.081757,21.821699;50.022958,21.754984
Burmistrz Miasta i Gminy Zagórz;181707;3;0;48.00;0;0;0;0;0;3;181707;3;Zagórz;15989;160;13099;82;596;618;gmw;49.307719,22.116536 49.542081,22.300493;49.4249,22.2085145
Burmistrz Ropczyc;181503;2;0;48.00;0;1;0;0;0;1;181503;3;Ropczyce;13908;139;27384;197;795;210;gmw;49.946345,21.464176 50.096625,21.679552;50.021485,21.571864
Wójt Gminy Pysznica;181803;2;0;49.00;0;1;0;0;0;1;181803;2;Pysznica;14669;147;10964;75;710;777;gw;50.527912,22.044988 50.669545,22.263986;50.5987285,22.154487
Wójt Gminy Ostrów;181502;2;0;40.50;0;1;0;0;0;1;181502;2;Ostrów;9619;96;7246;75;1448;1240;gw;50.077771,21.510098 50.209091,21.701944;50.143431,21.606021
Prezydent Miasta Stalowej Woli;181801;2;0;41.50;0;1;0;0;0;1;181801;1;Stalowa Wola;8252;83;61903;750;1665;68;gm;50.504125,21.935372 50.628860,22.099312;50.5664925,22.017342
Burmistrz Sędziszowa Małopolskiego;181504;1;0;46.00;0;1;0;0;0;0;181504;3;Sędziszów Małopolski;15404;154;23572;153;640;274;gmw;49.971297,21.612654 50.178600,21.822300;50.0749485,21.717477
Wójt Gminy Bojanów;181802;3;0;45.33;0;1;0;0;0;2;181802;2;Bojanów;17933;179;7531;42;454;1192;gw;50.361518,21.851936 50.528068,22.086581;50.444793,21.9692585
Wójt Gminy Krasne;181609;3;0;51.00;0;0;0;0;0;3;181609;2;Krasne;3910;39;11123;284;2098;764;gw;50.004954,22.053566 50.094554,22.168165;50.049754,22.1108655
Burmistrz Zaklikowa;181805;4;0;57.50;0;1;0;0;0;3;181805;3;Zaklików;20213;202;8605;43;333;1026;gmw;50.651209,21.951755 50.820548,22.205586;50.7358785,22.0786705
Burmistrz Boguchwały;181603;2;0;51.50;0;1;0;0;0;1;181603;3;Boguchwała;8896;89;20423;230;1546;331;gmw;49.946992,21.746702 50.042610,21.965621;49.994801,21.8561615
Wójt Gminy Radomyśl nad Sanem;181804;3;1;47.67;0;1;0;0;0;2;181804;2;Radomyśl nad Sanem;13390;134;7283;54;861;1233;gw;50.620721,21.839995 50.802707,22.083049;50.711714,21.961522
Burmistrz Miasta Dynów;181601;2;0;57.00;0;0;0;0;0;2;181601;1;Dynów;2455;25;6146;250;2199;1456;gm;49.787351,22.189489 49.840259,22.278581;49.813805,22.234035
Wójt Gminy Zaleszany;181806;1;0;38.00;0;1;0;0;0;0;181806;2;Zaleszany;8717;87;10852;124;1579;786;gw;50.584605,21.857101 50.702704,22.044371;50.6436545,21.950736
Burmistrz Błażowej;181602;2;0;55.50;0;1;0;0;0;1;181602;3;Błażowa;11260;113;10852;96;1169;786;gmw;49.824465,21.967484 49.940150,22.185113;49.8823075,22.0762985
Wójt Gminy Frysztak;181902;2;0;55.00;0;1;0;0;0;1;181902;2;Frysztak;9063;91;10467;115;1528;823;gw;49.785458,21.476620 49.896405,21.661343;49.8409315,21.5689815
Wójt Gminy Czudec;181901;3;0;51.67;0;0;0;0;0;3;181901;2;Czudec;8470;85;11843;140;1626;708;gw;49.895512,21.690530 49.972864,21.916420;49.934188,21.803475
Wójt Gminy Niebylec;181903;4;0;46.00;0;1;0;0;0;3;181903;2;Niebylec;10444;104;10504;101;1314;821;gw;49.781093,21.840539 49.918501,22.021912;49.849797,21.9312255
Burmistrz Strzyżowa;181904;2;1;49.00;0;1;0;0;0;1;181904;3;Strzyżów;14032;140;20754;148;782;326;gmw;49.781208,21.677129 49.951902,21.883502;49.866555,21.7803155
Wójt Gminy Wadowice Górne;181110;3;0;41.00;0;1;0;0;0;2;181110;2;Wadowice Górne;8690;87;7703;89;1582;1160;gw;50.223853,21.145727 50.310866,21.375802;50.2673595,21.2607645
Wójt Gminy Tuszów Narodowy;181109;3;0;47.33;0;1;0;0;0;2;181109;2;Tuszów Narodowy;8924;89;8157;91;1542;1089;gw;50.325788,21.400177 50.415722,21.640607;50.370755,21.520392
Wójt Gminy Harasiuki;181201;1;0;51.00;0;1;0;0;0;0;181201;2;Harasiuki;16817;168;6183;37;531;1450;gw;50.397277,22.349563 50.591937,22.586449;50.494607,22.468006
Wójt Gminy Stary Dzików;180907;2;1;46.00;0;1;0;0;0;1;180907;2;Stary Dzików;15570;156;4268;27;627;1922;gw;50.148153,22.797822 50.301416,23.037647;50.2247845,22.9177345
Wójt Gminy Jeżowe;181203;4;0;53.75;0;1;0;0;0;3;181203;2;Jeżowe;12393;124;10159;82;998;847;gw;50.303100,21.966753 50.416155,22.274453;50.3596275,22.120603
Wójt Gminy Markowa;181005;3;0;52.67;0;0;0;0;0;3;181005;2;Markowa;6874;69;6528;95;1866;1376;gw;49.926495,22.210742 50.052379,22.354129;49.989437,22.2824355
Wójt Gminy Jarocin;181202;2;0;59.50;0;0;0;0;0;2;181202;2;Jarocin;9079;91;5392;59;1526;1631;gw;50.518485,22.196459 50.625124,22.426114;50.5718045,22.3112865
Burmistrz Miasta Łańcuta;181001;4;2;49.00;0;1;0;0;0;3;181001;1;Łańcut;1942;19;17777;915;2242;409;gm;50.041178,22.186768 50.097904,22.262287;50.069541,22.2245275
Wójt Gminy Czarna;181003;2;0;62.50;0;0;0;0;0;2;181003;2;Czarna;7807;78;11715;150;1728;718;gw;50.041194,22.085837 50.185148,22.258027;50.113171,22.171932
Wójt Gminy Krzeszów;181204;3;0;52.33;0;1;0;0;0;2;181204;2;Krzeszów;6232;62;4293;69;1932;1914;gw;50.330260,22.299961 50.445092,22.455703;50.387676,22.377832
Wójt Gminy Białobrzegi;181002;1;0;59.00;0;0;0;0;0;1;181002;2;Białobrzegi;5614;56;8671;154;1982;1016;gw;50.084631,22.230992 50.152385,22.452113;50.118508,22.3415525
Burmistrz Gminy i Miasta Nisko;181205;5;0;54.20;0;1;0;0;0;4;181205;3;Nisko;14237;142;22412;157;756;292;gmw;50.402680,22.058526 50.553099,22.263793;50.4778895,22.1611595
Burmistrz Gminy i Miasta Ulanów;181207;2;0;44.50;0;0;0;0;0;2;181207;3;Ulanów;11937;119;8328;70;1067;1061;gmw;50.421121,22.200007 50.574148,22.407514;50.4976345,22.3037605
Burmistrz Gminy i Miasta Rudnik nad Sanem;181206;2;1;56.00;0;0;0;0;0;2;181206;3;Rudnik nad Sanem;7869;79;10150;129;1720;848;gmw;50.384154,22.165683 50.502340,22.317755;50.443247,22.241719
Wójt Gminy Skołyszyn;180509;3;0;47.33;0;1;0;0;0;2;180509;2;Skołyszyn;7849;78;12531;160;1726;660;gw;49.691380,21.241772 49.812061,21.401983;49.7517205,21.3218775
Wójt Gminy Osiek Jasielski;180508;3;0;52.67;0;1;0;0;1;1;180508;2;Osiek Jasielski;6040;60;5358;89;1946;1639;gw;49.564389,21.382602 49.672164,21.520258;49.6182765,21.45143
Wójt Gminy Tarnowiec;180511;2;0;50.00;0;1;0;0;0;1;180511;2;Tarnowiec;6250;62;9124;146;1930;957;gw;49.642013,21.500221 49.750879,21.623288;49.696446,21.5617545
Burmistrz Gminy Iwonicz-Zdrój;180703;3;0;51.67;0;1;0;0;0;2;180703;3;Iwonicz-Zdrój;4550;46;10945;241;2059;779;gmw;49.507749,21.732410 49.624936,21.836258;49.5663425,21.784334
Wójt Gminy Chorkówka;180701;3;0;45.67;0;1;0;0;0;2;180701;2;Chorkówka;7735;77;13469;174;1743;593;gw;49.577315,21.571471 49.691440,21.732806;49.6343775,21.6521385
Burmistrz Dukli;180702;5;2;48.60;0;1;0;0;0;4;180702;3;Dukla;23514;235;14665;62;215;526;gmw;49.389129,21.569567 49.631316,21.792572;49.5102225,21.6810695
Wójt Gminy Korczyna;180705;3;0;52.00;0;1;0;0;0;2;180705;2;Korczyna;9306;93;11179;120;1503;762;gw;49.659737,21.740082 49.801043,21.912091;49.73039,21.8260865
Burmistrz Gminy Jedlicze;180704;3;1;48.00;0;1;0;0;0;2;180704;3;Jedlicze;5857;59;15497;265;1956;493;gmw;49.671771,21.572302 49.772603,21.712670;49.722187,21.642486
Wójt Gminy Miejsce Piastowe;180707;2;1;43.00;0;1;0;0;0;1;180707;2;Miejsce Piastowe;5132;51;13675;266;2008;580;gw;49.587982,21.713754 49.675210,21.858099;49.631596,21.7859265
Wójt Gminy Krościenko Wyżne;180706;2;0;45.50;0;1;0;0;0;1;180706;2;Krościenko Wyżne;1631;16;5610;344;2266;1572;gw;49.652422,21.799662 49.699694,21.857920;49.676058,21.828791
Wójt Gminy Wojaszówka;180709;2;0;33.50;0;1;0;0;0;1;180709;2;Wojaszówka;8337;83;9325;112;1650;930;gw;49.719189,21.618210 49.843793,21.787050;49.781491,21.70263
Burmistrz Gminy Rymanów;180708;1;0;59.00;0;1;0;0;0;0;180708;3;Rymanów;16663;167;15891;95;544;479;gmw;49.459876,21.773513 49.644158,21.969289;49.552017,21.871401
Prezydent Miasta Tarnobrzega;186401;5;2;52.00;0;1;0;0;0;4;186401;1;Tarnobrzeg;8540;85;47387;555;1612;100;mm;50.512270,21.601384 50.654943,21.796277;50.5836065,21.6988305
