tura;teryt;nrk;kto;wiek;miasto;glosy;glosyp;glosyn;wynik
R1;060310;1;ĆWIR Dariusz;41;wyższe;Sawin,;1714;65.52;-1;Tak
R1;060310;2;RZEPECKA Joanna;45;wyższe;Sawin,;499;19.07;-1;Nie
R1;060310;3;ŚWICA Grzegorz;52;wyższe;Sawin,;187;7.15;-1;Nie
R1;060310;4;WICIŃSKI Hubert;55;wyższe;Sawin,;216;8.26;-1;Nie
R1;060311;1;ZONIK Hieronim;63;wyższe;Siedliszcze,;1670;74.22%;580;Tak
R1;060312;1;DENISZCZUK Zdzisława Bożena;54;wyższe;Wygoda,;857;35.55;-1;Druga tura
R1;060312;2;KACZMARSKI Marek;51;średnie;Wierzbica-Osiedle,;669;27.75;-1;Nie
R1;060312;3;ŻELECHOWSKI Bogusław Zenon;59;wyższe;Wierzbica-Osiedle,;885;36.71;-1;Druga tura
R1;060313;1;DRZEWICKA-TOKARZ Katarzyna Małgorzata;29;wyższe;Huta,;188;9.82;-1;Nie
R1;060313;2;GOŁĘBIOWSKI Henryk Grzegorz;60;wyższe;Wojsławice,;1018;53.19;-1;Tak
R1;060313;3;SEMENIUK Jacek Janusz;54;średnie;Majdan Ostrowski,;708;36.99;-1;Nie
R1;060314;1;NIEZGODA EDYTA;45;WYŻSZE;Żmudź,;1061;83.68%;207;Tak
R1;060315;1;GÓRSKI Tadeusz;66;wyższe ekonomiczne;Rybie,;1717;77.34%;503;Tak
R1;060401;1;CIESIELCZUK Wojciech Jerzy;62;Średnie;Hrubieszów,;385;5.58;-1;Nie
R1;060401;2;GOŁĘBIOWSKI Jan Zbigniew;47;Wyższe;Hrubieszów,;553;8.02;-1;Nie
R1;060401;3;MAJEWSKA Marta Urszula;36;Wyższe;Hrubieszów,;1779;25.79;-1;Druga tura
R1;060401;4;SMAL Zbigniew;63;Zawodowe;Hrubieszów,;471;6.83;-1;Nie
R1;060401;5;SUCHECKI Franciszek;69;Zawodowe;Hrubieszów,;715;10.36;-1;Nie
R1;060401;6;SYMCZUK Maryla;44;Wyższe;Hrubieszów,;1700;24.64;-1;Druga tura
R1;060401;7;SZELĄG Piotr Edward;55;Wyższe;Hrubieszów,;1296;18.79;-1;Nie
R1;060402;1;BARCHACKI Stanisław;56;Wyższe;Dołhobyczów,;301;14.24;-1;Nie
R1;060402;2;DREWNIK Grzegorz;39;Wyższe;Chłopiatyn,;1630;77.11;-1;Tak
R1;060402;3;SZYPER Maja Beata;48;zawodowe;Żabcze,;183;8.66;-1;Nie
R1;060403;1;BOŻEK Krzysztof;55;Wyższe;Husynne,;1389;62.37;-1;Tak
R1;060403;2;SAŁĘGA Zbigniew;54;Wyższe;Rogalin,;838;37.63;-1;Nie
R1;060404;1;FURTAK Marcin;35;Średnie;Kułakowice Drugie,;382;9.73;-1;Nie
R1;060404;2;MAGDZIAK Iwona Anna;37;Wyższe;Hrubieszów,;621;15.81;-1;Nie
R1;060404;3;USOWSKI Sławomir Andrzej;48;Wyższe;Mieniany,;747;19.02;-1;Nie
R1;060404;4;ZAJĄC Tomasz Piotr;47;Wyższe;Hrubieszów,;2177;55.44;-1;Tak
R1;060405;1;KUKIEŁKA Robert Sławomir;41;średnie;Borsuk,;338;11.75;-1;Nie
R1;060405;2;MAŁYSZEK Marta Ewa;50;wyższe;Mircze,;1805;62.74;-1;Tak
R1;060405;3;SZOPIŃSKI Lech Stanisław;61;wyższe;Mircze,;734;25.51;-1;Nie
R1;060406;1;CZARNOTA Stanisław;51;Średnie;Nieledew,;810;44.78;-1;Druga tura
R1;060406;2;KUTERA Mirosław Adam;61;Wyższe;Trzeszczany Pierwsze,;284;15.70;-1;Nie
R1;060406;3;SZEWC Elżbieta Bożena;46;Wyższe;Ostrówek,;337;18.63;-1;Nie
R1;060406;4;ŚWIST Henryk Wojciech;58;Wyższe;Nieledew,;378;20.90;-1;Druga tura
R1;060407;1;CZERWONKA Leszek;55;Wyższe;Białowody,;796;37.60;-1;Druga tura
R1;060407;2;GUMIENIAK Maria Danuta;63;Średnie;Wysokie,;658;31.08;-1;Druga tura
R1;060407;3;LACKOWSKI Marian Jan;63;Średnie;Jarosławiec,;518;24.47;-1;Nie
R1;060407;4;WOJCZUK Stanisław;55;Średnie;Dziekanów,;145;6.85;-1;Nie
R1;060408;1;BĄK Tomasz Krzysztof;38;wyższe;Werbkowice,;255;6.10;-1;Nie
R1;060408;2;BOJKO Lech Franciszek;60;wyższe administracyjne;Hrubieszów,;1486;35.56;-1;Druga tura
R1;060408;3;SKUBIS-RAFALSKA Agnieszka;44;wyższe;Werbkowice,;1666;39.87;-1;Druga tura
R1;060408;4;SZYMCZUK Mirosław Andrzej;42;wyższe;Terebiniec,;772;18.47;-1;Nie
R1;060501;1;MICHAŁEK Henryk Aleksander;61;wyższe;Batorz Pierwszy,;974;56.76;-1;Tak
R1;060501;2;PIZOŃ Artur Grzegorz;47;wyższe;Janów Lubelski,;742;43.24;-1;Nie
R1;060502;1;JAWORSKI Czesław;64;wyższe;Chrzanów Pierwszy,;528;32.82;-1;Nie
R1;060502;2;SULOWSKI Marcin;30;wyższe;Chrzanów Czwarty,;1081;67.18;-1;Tak
R1;060503;1;BURYTA Zbigniew;39;Wyższe;Krzemień Pierwszy,;232;7.48;-1;Nie
R1;060503;2;DYJACH Wiesław;38;wyższe;Krzemień Pierwszy,;1012;32.65;-1;Druga tura
R1;060503;3;OSIEWICZ Józef Roman;49;wyższe;Krzemień Drugi,;784;25.29;-1;Druga tura
R1;060503;4;PIECH Marek Antoni;60;wyższe;Janów Lubelski,;414;13.35;-1;Nie
R1;060503;5;ROŻEK Stanisław Antoni;62;wyższe;Zofianka Dolna,;658;21.23;-1;Nie
R1;060504;1;DAŚKO Stanisław;45;zasadnicze zawodowe;Godziszów Pierwszy,;865;26.35;-1;Nie
R1;060504;2;WIDZ Marian Andrzej;53;średnie;Janów Lubelski,;259;7.89;-1;Nie
R1;060504;3;ZBYTNIEWSKI Józef Marian;59;wyższe;Rataj Ordynacki,;2159;65.76;-1;Tak
R1;060505;1;KOŁTYŚ Krzysztof Adam;52;wyższe;Janów Lubelski,;5379;81.00%;1262;Tak
R1;060506;1;KOWALIK Witold Wiesław;58;Wyższe;Modliborzyce,;2062;64.76;-1;Tak
R1;060506;2;KRZOSEK Tadeusz;63;Wyższe;Rzeszów,;1122;35.24;-1;Nie
R1;060507;1;NOSAL Leszek Jan;53;średnie;Wola Potocka,;1170;52.61;-1;Tak
R1;060507;2;PIETRZYK Jerzy Piotr;62;Wyższe;Stany Nowe,;1054;47.39;-1;Nie
R1;060601;1;JAKUBIEC Andrzej Krzysztof;62;wyższe;Krasnystaw,;3169;40.70;-1;Druga tura
R1;060601;2;KMICIC Andrzej;60;wyższe;Krasnystaw,;1330;17.08;-1;Nie
R1;060601;3;KOŚCIUK Robert;48;wyższe;Krasnystaw, Prawo i Sprawiedliwość;3030;38.92;-1;Druga tura
R1;060601;4;WARCHULSKI Bogusław;62;średnie;Lublin,;257;3.30;-1;Nie
R1;060602;1;LIPA Grzegorz Czesław;50;Wyższe;Siedliska Pierwsze,;618;29.10;-1;Nie
R1;060602;2;PĘDZISZ Janusz Tomasz;57;Wyższe;Fajsławice,;1506;70.90;-1;Tak
R1;060603;1;ILCZUK Marek Jan;57;Wyższe;Krasnystaw,;342;19.17;-1;Nie
R1;060603;2;KASPRZAK Marek;61;Średnie;Gorzków-Wieś,;864;48.43;-1;Druga tura
R1;060603;3;WYPYCH Edward Marek;45;Wyższe;Krasnystaw,;423;23.71;-1;Druga tura
R1;060603;4;ŻUREK Alicja Barbara;60;Wyższe;Bobrowe,;155;8.69;-1;Nie
R1;060604;1;HAŁATA Bolesław Kazimierz;70;wyższe techniczne;Izbica,;222;5.76;-1;Nie
R1;060604;2;LEWCZUK Jerzy;58;Wyższe;Izbica,;2588;67.10;-1;Tak
R1;060604;3;NIEDŹWIECKA Wioletta;45;Wyższe;Izbica,;679;17.60;-1;Nie
R1;060604;4;ŚWIĘCKI Janusz;61;Wyższe;Izbica,;368;9.54;-1;Nie
R1;060605;1;BARCZUK Tomasz Andrzej;39;Wyższe;Krupe,;840;23.37;-1;Druga tura
R1;060605;2;CHWASZCZ Agnieszka;44;Wyższe;Małochwiej Mały,;213;5.92;-1;Nie
R1;060605;3;GAJOWIAK - POWROŹNIK Edyta;44;Wyższe;Małochwiej Duży,;1492;41.50;-1;Druga tura
R1;060605;4;GRABEK Andrzej Anatol;51;Wyższe;Średnia Wieś,;576;16.02;-1;Nie
R1;060605;5;SZAWARSKA Janina;65;Wyższe;Siennica Nadolna,;474;13.18;-1;Nie
R1;060606;1;GRZESIUK Monika Agnieszka;44;wyższe;Kraśniczyn,;795;43.87;-1;Druga tura
R1;060606;2;RACZKOWSKI Piotr Marek;53;wyższe;Żułów,;385;21.25;-1;Nie
R1;060606;3;SAPIECHA Małgorzata Jolanta;61;wyższe;Stara Wieś,;632;34.88;-1;Druga tura
R1;060607;1;SAWA ARTUR DARIUSZ;41;wyższe;Krasnystaw,;961;55.36;-1;Tak
R1;060607;2;SZADURA ANDRZEJ TADEUSZ;55;Średnie;Łopiennik Górny,;775;44.64;-1;Nie
R1;060609;1;GOŁĄB Andrzej;51;Wyższe;Wirkowice Drugie,;232;16.70;-1;Nie
R1;060609;2;KAMIENIECKI Zbigniew Aleksander;40;Wyższe;Rudnik,;259;18.65;-1;Nie
R1;060609;3;KUCHARCZYK Paweł Grzegorz;34;Wyższe;Kaszuby,;406;29.23;-1;Druga tura
R1;060609;4;ZDUNEK Tadeusz;62;Średnie;Majdan Borowski Pierwszy,;492;35.42;-1;Druga tura
R1;060610;1;KORKOSZ Andrzej;42;wyższe rolnicze;Rudka,;561;30.06;-1;Nie
R1;060610;2;PROSKURA Leszek Waldemar;61;średnie;Krasnystaw,;1305;69.94;-1;Tak
R1;060611;1;LIS Jacek;43;wyższe;Tokarówka,;1248;54.69;-1;Tak
R1;060611;2;ZYCH Bogusław;50;wyższe;Żółkiewka,;1034;45.31;-1;Nie
R1;060701;1;CHOMA Kazimierz Bogusław;60;Wyższe;Kraśnik,;5282;35.63;-1;Druga tura
R1;060701;2;KRASOWSKI Andrzej;59;Średnie;Kraśnik,;461;3.11;-1;Nie
R1;060701;3;POMYKALSKA Marzena Anna;51;Wyższe;Kraśnik,;3037;20.49;-1;Nie
R1;060701;4;WILK Wojciech;46;Wyższe;Kraśnik,;6043;40.77;-1;Druga tura
R1;060702;1;GAZDA Mirosław Ferdynand;45;Wyższe;Annopol,;1056;27.87;-1;Druga tura
R1;060702;2;LIWIŃSKI Wiesław Ryszard;57;wyższe;Annopol,;1679;44.31;-1;Druga tura
R1;060702;3;SKÓRSKI Stefan;55;wyższe;Annopol,;1054;27.82;-1;Nie
R1;060703;1;GĄSIOROWSKI Marcin;42;Wyższe;Terpentyna,;1431;69.33;-1;Tak
R1;060703;2;RACŁAWSKI Wojciech;39;Wyższe;Dzierzkowice-Podwody,;633;30.67;-1;Nie
R1;060704;1;FILIPCZAK Jan;63;wyższe;Gościeradów Ukazowy,;412;12.96;-1;Nie
R1;060704;2;GALANT Krzysztof;39;wyższe;Łany,;328;10.32;-1;Nie
R1;060704;3;KSIĄDZ Jerzy;57;wyższe;Wólka Gościeradowska,;196;6.17;-1;Nie
R1;060704;4;SZCZEPANIK Mariusz;52;wyższe humanistyczne;Gościeradów Ukazowy,;2242;70.55;-1;Tak
R1;060705;1;CHAPSKI Mirosław Stanisław;62;Wyższe;Stróża-Kolonia,;2069;70.54;-1;Tak
R1;060705;2;PIĘTAL Wojciech Krzysztof;55;średnie;Słodków Pierwszy,;864;29.46;-1;Nie
R1;060706;1;JASKOWSKI Artur Piotr;47;średnie;Polichna Druga,;1428;51.24;-1;Tak
R1;060706;2;MULARCZYK Tomasz;48;wyższe;Kraśnik,;1359;48.76;-1;Nie
R1;060707;1;KWIECIEŃ Franciszek Marek;65;wyższe;Trzydnik Duży - Kolonia,;932;35.09;-1;Nie
R1;060707;2;SERAFIN Krzysztof;32;wyższe;Trzydnik Duży - Kolonia,;1724;64.91;-1;Tak
R1;060708;1;DĄBROWSKI Paweł;54;wyższe;Grabówka,;1765;44.91;-1;Druga tura
R1;060708;2;ROLLA Andrzej Tadeusz;47;wyższe;Urzędów,;253;6.44;-1;Nie
R1;060708;3;TOMPOLSKI Stanisław Jan;55;wyższe;Boby-Kolonia,;1342;34.15;-1;Druga tura
R1;060708;4;ZDYBEL Tomasz;45;wyższe;Urzędów,;570;14.50;-1;Nie
R1;060709;1;GŁĄB Paweł Zbigniew;37;wyższe;Wilkołaz-Stacja Kolejowa,;1724;68.66;-1;Tak
R1;060709;2;ŁYSAKOWSKI Andrzej Józef;66;średnie;Wilkołaz Pierwszy,;588;23.42;-1;Nie
R1;060709;3;SERAFIN Agnieszka;43;wyższe;Marianówka,;199;7.93;-1;Nie
R1;060710;1;LEMIECHA Grzegorz;39;wyższe;Zakrzówek,;984;32.62;-1;Nie
R1;060710;2;POTOCKI Józef;32;wyższe;Zakrzówek,;1578;52.30;-1;Tak
R1;060710;3;STAROCH Stanisław Krzysztof;57;średnie;Majdan-Grabina,;455;15.08;-1;Nie
R1;060801;1;BODZIACKI Janusz Stanisław;58;wyższe;Lubartów,;2721;27.50;-1;Druga tura
R1;060801;2;GĄSIOR Waldemar;49;wyższe;Lubartów,;345;3.49;-1;Nie
R1;060801;3;PAŚNIK Krzysztof Mariusz;39;wyższe;Lubartów,;3148;31.82;-1;Druga tura
R1;060801;4;SZUMIEC Radosław Stanisław;56;wyższe;Lubartów,;1834;18.54;-1;Nie
R1;060801;5;WRÓBLEWSKI Jakub Tomasz;42;wyższe;Lubartów,;1846;18.66;-1;Nie
R1;060802;1;CHOMIUK Artur Sławomir;50;Wyższe;Marcinów,;699;33.70;-1;Druga tura
R1;060802;2;KONIECZKA Grzegorz Edward;36;Średnie;Wielkie,;65;3.13;-1;Nie
R1;060802;3;KOWALSKI Marek;45;Wyższe;Marcinów,;848;40.89;-1;Druga tura
R1;060802;4;ZIELIŃSKA Teresa;62;Średnie;Abramów,;462;22.28;-1;Nie
R1;060803;1;CIESZKO Sławomir Marian;60;Wyższe;Firlej,;858;28.26;-1;Nie
R1;060803;2;POWAŁKA-PRZYBYSZ Marianna Lucyna;60;Wyższe;Łukówiec,;123;4.05;-1;Nie
R1;060803;3;TARNOWSKI Dawid Kamil;31;Wyższe;Firlej,;1662;54.74;-1;Tak
R1;060803;4;TURMOWICZ Waldemar Jan;54;Wyższe;Firlej,;393;12.94;-1;Nie
R1;060804;1;GROBEL Mariusz;39;wyższe;Przytoczno,;753;58.83;-1;Tak
R1;060804;2;RADOMSKI Jarosław Wojciech;49;wyższe;Jeziorzany,;527;41.17;-1;Nie
R1;060805;1;ŁUGOWSKI Karol Marek;39;Wyższe;Kamionka,;1755;61.54;-1;Tak
R1;060805;2;NIEĆKO Grzegorz Piotr;49;Wyższe;Kamionka,;1097;38.46;-1;Nie
R1;060806;1;FUTERA Tomasz;56;Wyższe;Kock,;2169;82.66%;455;Tak
R1;060807;1;KOPYŚĆ Krzysztof Grzegorz;49;Wyższe;Wandzin,;2105;42.60;-1;Druga tura
R1;060807;2;MAŁYSKA Tadeusz;46;Wyższe;Skrobów-Kolonia,;1502;30.40;-1;Druga tura
R1;060807;3;PIĘTKA Robert Stanisław;49;Wyższe;Wólka Rokicka-Kolonia,;866;17.53;-1;Nie
R1;060807;4;WIAK Tadeusz;58;Średnie;Lisów,;468;9.47;-1;Nie
R1;060808;1;ADAMCZYK Roman;57;średnie;Rudno,;836;26.76;-1;Druga tura
R1;060808;2;CHOJNOWSKA Anna Monika;44;wyższe;Rudno,;748;23.94;-1;Nie
R1;060808;3;JANKOWSKI Janusz Antoni;59;wyższe;Michów,;1540;49.30;-1;Druga tura
R1;060809;1;KUBIK Marek;42;Wyższe;Zabiele,;1676;56.97;-1;Tak
R1;060809;2;MARZĘDA Janusz Stanisław;55;Wyższe;Niedźwiada-Kolonia,;1266;43.03;-1;Nie
R1;060810;1;GRUSZCZYK Józef Krzysztof;55;Wyższe;Ostrów Lubelski,;1278;49.46;-1;Druga tura
R1;060810;2;KOŁTON Włodzimierz;42;Wyższe prawnicze;Ostrów Lubelski,;978;37.85;-1;Druga tura
R1;060810;3;SZYMULA Tomasz;42;Wyższe ekonomiczne;Ostrów Lubelski,;328;12.69;-1;Nie
R1;060811;1;KARCZMARZ Krzysztof;45;wyższe;Lubartów, Prawo i Sprawiedliwość;809;41.23;-1;Nie
R1;060811;2;PIECAK Tomasz Piotr;48;wyższe magisterskie;Lublin, PSL;1153;58.77;-1;Tak
R1;060812;1;MARZĘDA Stanisław Marian;64;wyższe;Wola Sernicka,;1125;46.58;-1;Nie
R1;060812;2;WOŹNIAK Paweł Grzegorz;38;wyższe;Nowa Wola,;1290;53.42;-1;Tak
R1;060813;1;KARPIŃSKI Romuald Piotr;60;średnie;Nowy Uścimów,;379;25.35;-1;Nie
R1;060813;2;SMOLEŃ Eliza;46;wyższe;Lublin,;727;48.63;-1;Druga tura
R1;060813;3;WOŁOSZKIEWICZ Stanisław Marian;62;wyższe;Stary Uścimów,;389;26.02;-1;Druga tura
R1;060901;1;FIGURA Ryszard Marian;63;Wyższe;Bełżyce,;542;9.53;-1;Nie
R1;060901;2;GÓRA Ryszard;51;wyższe;Bełżyce,;1842;32.39;-1;Druga tura
R1;060901;3;ŁUCKA Ireneusz Paweł;45;Wyższe;Lipniak, Prawo i Sprawiedliwość;1819;31.99;-1;Druga tura
R1;060901;4;SOBCZAK Marcin;40;Wyższe;Bełżyce,;532;9.35;-1;Nie
R1;060901;5;WRÓBLEWSKI Krzysztof;48;wyższe ekonomiczne;Bełżyce,;952;16.74;-1;Nie
R1;060902;1;MADZELAN Zenon Stanisław;59;wyższe;Majdan Skrzyniecki,;1133;55.05;-1;Tak
R1;060902;2;WAWEREK Jerzy;50;wyższe;Borzechów,;925;44.95;-1;Nie
R1;060903;1;KRUSIŃSKI Sylwester Andrzej;55;wyższe;Bychawa,;500;9.69;-1;Nie
R1;060903;2;KRZYŻAK Marta Iwona;45;wyższe;Bychawa,;1980;38.36;-1;Druga tura
R1;060903;3;SOBASZEK Andrzej;63;wyższe;Bychawa,;887;17.18;-1;Nie
R1;060903;4;URBAN Janusz Stanisław;51;wyższe;Marysin,;1795;34.77;-1;Druga tura
R1;060904;1;BARSZCZ Tadeusz Grzegorz;40;wyższe;Gutanów,;1652;40.44;-1;Nie
R1;060904;2;FIRLEJ Kazimierz;58;wyższe;Garbów,;2433;59.56;-1;Tak
R1;060905;1;ANASIEWICZ Jacek Zbigniew;53;Wyższe;Abramowice Kościelne,;3143;65.10;-1;Tak
R1;060905;2;BIELECKA Renata;48;Wyższe;Wilczopole,;1685;34.90;-1;Nie
R1;060906;1;KOZAK Dorota Anna;45;wyższe;Jabłonna Druga,;1271;39.11;-1;Druga tura
R1;060906;2;RUDZKA Violetta Honorata;45;wyższe;Skrzynice Pierwsze,;658;20.25;-1;Nie
R1;060906;3;SAŁEK Magdalena Sylwia;32;wyższe;Czerniejów,;1321;40.65;-1;Druga tura
R1;060907;1;KOT Teresa;63;wyższe;Panieńszczyzna,;4230;74.70;-1;Tak
R1;060907;2;ŻYŚKO Robert Artur;32;wyższe;Marysin,;1433;25.30;-1;Nie
R1;060908;1;WIŃSKI Grzegorz Marcin;48;wyższe;Konopnica,;1703;29.03;-1;Nie
R1;060908;2;ŻYDEK Mirosław;50;wyższe;Radawiec Duży,;4163;70.97;-1;Tak
R1;060909;1;BRYDA Katarzyna Honorata;38;wyższe;Kosarzew Stróża,;1259;55.29;-1;Tak
R1;060909;2;CIOCZEK Wojciech Jan;26;wyższe;Krzczonów,;317;13.92;-1;Nie
R1;060909;3;PODSIADŁY Marian;55;wyższe;Krzczonów,;701;30.79;-1;Nie
R1;060910;1;GOLEC Ryszard;54;wyższe;Niedrzwica Duża, Prawo i Sprawiedliwość;2790;55.72;-1;Tak
R1;060910;2;KUNA Adam;53;wyższe;Niedrzwica Duża,;2217;44.28;-1;Nie
R1;060911;1;SUCHODOLSKI Michał;35;Wyższe;Dys,;3473;39.96;-1;Nie
R1;060911;2;URBAŚ Krzysztof;60;Wyższe;Dys,;5218;60.04;-1;Tak
R1;060912;1;KURAS Grzegorz Zbigniew;49;wyższe;Piotrowice,;858;25.12;-1;Nie
R1;060912;2;SKRABUCHA Antoni Michał;58;wyższe;Dębszczyzna,;952;27.88;-1;Druga tura
R1;060912;3;ZDYBEL Barbara Marta;49;wyższe;Strzyżewice,;1605;47.00;-1;Druga tura
R1;060913;1;CHUDZIK Sławomir;53;średnie;Palikije Pierwsze,;331;12.47;-1;Nie
R1;060913;2;CZĘPIŃSKA Małgorzata;50;średnie;Cyganówka,;110;4.14;-1;Nie
R1;060913;3;CZYŻEWSKI Jan Marian;59;Wyższe;Wojciechów Kolonia Piąta,;497;18.72;-1;Nie
R1;060913;4;KOWALCZYK Małgorzata;40;średnie policealne;Wojciechów-Kolonia Piąta,;295;11.11;-1;Nie
R1;060913;5;MARKOWSKI Artur Sylwester;46;Wyższe;Szerokie,;1422;53.56;-1;Tak
R1;060914;1;BARWIŃSKI Marcin Piotr;41;Wyższe;Turka,;230;4.40;-1;Nie
R1;060914;2;CZYŻEWSKA Karina Anna;37;Wyższe;Turka,;498;9.52;-1;Nie
R1;060914;3;GORTAT Edwin;38;Wyższe;Świdnik Duży Pierwszy,;2744;52.46;-1;Tak
R1;060914;4;KAIS Jolanta Elżbieta;52;Wyższe;Turka,;697;13.32;-1;Nie
R1;060914;5;SZAJEWSKI Wiesław;57;Wyższe;Świdnik Duży Drugi,;1062;20.30;-1;Nie
R1;060915;1;DOBRZYŃSKA Dorota Agata;45;Wyższe;Zabłocie,;725;31.54;-1;Druga tura
R1;060915;2;KALIŃSKI Łukasz Beniamin;33;Wyższe;Maciejów Stary,;625;27.19;-1;Nie
R1;060915;3;WOJTAS Anna Elżbieta;60;Wyższe;Wysokie,;949;41.28;-1;Druga tura
R1;060916;1;KOWALCZYK Mirosław Piotr;50;Wyższe;Majdan Starowiejski,;343;27.75;-1;Nie
R1;060916;2;ZARĘBA Teodora;60;Wyższe;Zakrzew,;893;72.25;-1;Tak
R1;061001;1;KOC Magdalena;36;wyższe;Cyców,;526;15.26;-1;Nie
R1;061001;2;KOCIUBA Marta Katarzyna;54;wyższe;Głębokie,;1023;29.68;-1;Druga tura
R1;061001;3;KOŚCIUSZKO Andrzej;60;wyższe;Wólka Cycowska,;486;14.10;-1;Nie
R1;061001;4;PIKUŁA Wiesław Stanisław;65;średnie techniczne;Stawek,;1412;40.96;-1;Druga tura
R1;061002;1;CHABROS Andrzej Marcin;41;Wyższe;Kocia Góra,;1975;79.83;-1;Tak
R1;061002;2;WROŃSKI Grzegorz;40;Wyższe;Dratów Kolonia,;499;20.17;-1;Nie
R1;061003;1;FIJAŁKOWSKI Mariusz Grzegorz;33;wyższe;Łęczna,;1687;17.21;-1;Nie
R1;061003;2;WINIARSKI Piotr Michał;51;wyższe;Łęczna,;3190;32.53;-1;Nie
R1;061003;3;WŁODARSKI Leszek;40;wyższe;Łęczna,;4928;50.26;-1;Tak
R1;061004;1;GAJOWIAK Magdalena Katarzyna;44;Wyższe;Milejów - Osada,;1080;27.32;-1;Nie
R1;061004;2;HARTFIL Andrzej Włodzimierz;58;Średnie techniczne;Cyganka,;397;10.04;-1;Nie
R1;061004;3;STRYCHARCZUK Marek;47;średnie;Górne,;154;3.90;-1;Nie
R1;061004;4;SURYŚ Tomasz Andrzej;46;Wyższe;Bonów,;2322;58.74;-1;Tak
R1;061005;1;BACHENEK Zofia Elżbieta;56;Wyższe;Puchaczów,;990;36.22;-1;Nie
R1;061005;2;GRZESIUK Adam Paweł;62;Wyższe;Brzeziny,;1743;63.78;-1;Tak
R1;061006;1;DEJKO Joanna;51;Wyższe psychologiczne;Stoczek,;335;12.68;-1;Nie
R1;061006;2;IWANICKI Tomasz Wiesław;40;wyższe;Spiczyn,;564;21.36;-1;Nie
R1;061006;3;SZCZĘSNA Dorota Zofia;49;wyższe;Charlęż-Kolonia,;704;26.66;-1;Druga tura
R1;061006;4;WŁODARCZYK Gustaw Mariusz;54;Wyższe;Jawidz,;619;23.44;-1;Druga tura
R1;061006;5;ŻURAW Tomasz Andrzej;53;Wyższe pedagogiczne;Spiczyn,;419;15.87;-1;Nie
R1;061101;1;LIPIEC Henryk Marek;58;wyższe;Łuków,;1676;12.50;-1;Nie
R1;061101;2;NURZYŃSKI Maciej Łukasz;36;wyższe;Łuków,;1582;11.80;-1;Nie
R1;061101;3;PŁUDOWSKI Piotr;44;wyższe;Łuków,;3996;29.81;-1;Druga tura
R1;061101;4;SZUSTEK Dariusz Jan;53;wyższe;Łuków,;6150;45.88;-1;Druga tura
R1;061102;1;KOT Andrzej;46;Wyższe;Stoczek Łukowski,;116;8.27;-1;Nie
R1;061102;2;PISKORZ Artur Tomasz;48;Wyższe;Stoczek Łukowski,;576;41.05;-1;Nie
R1;061102;3;SENTKIEWICZ Marcin;36;Wyższe;Stoczek Łukowski,;711;50.68;-1;Tak
R1;061103;1;BARAN Robert Marian;46;Wyższe;Adamów,;958;35.17;-1;Nie
R1;061103;2;PONIKOWSKI Karol;38;Wyższe;Adamów,;1766;64.83;-1;Tak
R1;061104;1;KĘDRA Jerzy;58;Wyższe;Krzywda,;1721;35.14;-1;Druga tura
R1;061104;2;SKWAREK Beata;43;Wyższe;Zimna Woda,;1238;25.28;-1;Nie
R1;061104;3;WARDA Krzysztof;45;Wyższe;Drożdżak,;1939;39.59;-1;Druga tura
R1;061105;1;OSIAK Mariusz;47;wyższe;Zalesie, Prawo i Sprawiedliwość;6558;90.18%;714;Tak
R1;061106;1;ADAMECZEK Hubert Marian;33;wyższe;Charlejów,;317;14.80;-1;Nie
R1;061106;2;CHABER Piotr;56;średnie techniczne;Serokomla,;1088;50.79;-1;Tak
R1;061106;3;STĘPNIAK Krzysztof Wojciech;57;wyższe;Hordzież,;737;34.41;-1;Nie
R1;061107;1;GRUDZIEŃ Jadwiga Teresa;53;wyższe;Niedźwiadka,;380;7.89;-1;Nie
R1;061107;2;KAZANA Krzysztof;39;wyższe;Józefów,;2552;52.96;-1;Tak
R1;061107;3;PASIK Paweł;33;wyższe;Nowa Wróblina,;1887;39.16;-1;Nie
R1;061108;1;CHUDEK Daniel;36;Wyższe;Stoczek Łukowski,;1381;35.04;-1;Nie
R1;061108;2;CZUB Marek Jan;50;Wyższe;Stoczek Łukowski,;2560;64.96;-1;Tak
R1;061109;1;BRZOZOWSKI Tadeusz Henryk;60;wyższe;Trzebieszów,;930;24.35;-1;Nie
R1;061109;2;KUROWSKA Małgorzata Anna;53;wyższe;Trzebieszów-Kolonia,;872;22.83;-1;Nie
R1;061109;3;SZEKALIS Mirosław Józef;58;wyższe;Trzebieszów Drugi,;2017;52.81;-1;Tak
R1;061110;1;BARSZCZ Sławomir;42;średnie;Siedliska,;81;2.27;-1;Nie
R1;061110;2;CIEŚLAK Agnieszka Barbara;48;wyższe;Wólka Domaszewska,;958;26.83;-1;Druga tura
R1;061110;3;GRUBA Grzegorz Adam;57;wyższe;Burzec,;254;7.11;-1;Nie
R1;061110;4;KULIKOWSKA Małgorzata;30;wyższe;Oszczepalin Drugi,;949;26.58;-1;Nie
R1;061110;5;SZCZĘŚNIAK Krzysztof;54;wyższe;Siedliska,;1329;37.22;-1;Druga tura
R1;061111;1;KONIECZNY Ryszard;54;Średnie;Dwornia,;423;17.75;-1;Nie
R1;061111;2;MIKUSEK Zofia;53;Wyższe;Mysłów,;875;36.72;-1;Druga tura
