urzad;razem;kobietyP;wiek;PSL;PiS;PO;SLD;PP;NP;teryt;xteryt;name;areaH;popThs;popKm;rankP;type;bb;center
Wójt Gminy Obryte;3;0.00;47.33;1;1;0;0;0;1;142402;2;Obryte;13976.0;4818.0;34;1778;gw;52.666831,21.109734 52.779769,21.353451;52.7233,21.2315925
Wójt Gminy Zaręby Kościelne;2;50.00;59.50;1;0;0;0;0;1;141611;2;Zaręby Kościelne;8873.0;3724.0;42;2052;gw;52.692136,22.037286 52.799791,22.227085;52.7459635,22.1321855
Wójt Gminy Osieck;2;50.00;44.50;0;1;0;0;0;1;141706;2;Osieck;6798.0;3583.0;53;2088;gw;51.901881,21.341365 52.008788,21.514425;51.9553345,21.427895
Prezydent Miasta Otwocka;7;0.00;43.00;0;1;1;0;0;5;141702;1;Otwock;4731.0;44873.0;948;111;gm;52.083406,21.210347 52.148731,21.368350;52.1160685,21.2893485
Burmistrz Miasta Józefowa;6;33.33;46.50;0;1;0;0;0;5;141701;1;Józefów;2391.0;20488.0;857;329;gm;52.098233,21.164953 52.158909,21.275165;52.128571,21.220059
Wójt Gminy Celestynów;1;0.00;47.00;0;0;0;0;0;1;141703;2;Celestynów;8892.0;11662.0;131;723;gw;51.969969,21.311882 52.111813,21.483287;52.040891,21.3975845
Burmistrz Karczewa;4;0.00;39.25;0;1;0;0;0;3;141704;3;Karczew;8150.0;15916.0;195;476;gmw;51.976265,21.204999 52.092842,21.353218;52.0345535,21.2791085
Wójt Gminy Kołbiel;3;0.00;51.00;0;1;0;0;0;2;141705;2;Kołbiel;10650.0;8186.0;77;1085;gw;51.994990,21.399886 52.123242,21.580083;52.059116,21.4899845
Wójt Gminy Wiązowna;1;0.00;57.00;0;0;0;0;0;1;141708;2;Wiązowna;10212.0;12693.0;124;647;gw;52.102730,21.240229 52.228226,21.483013;52.165478,21.361621
Wójt Gminy Sobienie-Jeziory;2;50.00;52.50;0;0;0;0;0;2;141707;2;Sobienie-Jeziory;9768.0;6369.0;65;1414;gw;51.869736,21.235858 52.001529,21.427164;51.9356325,21.331511
Wójt Gminy Brańszczyk;2;0.00;57.00;0;1;0;0;0;1;143501;2;Brańszczyk;16651.0;8307.0;50;1063;gw;52.598368,21.485081 52.728902,21.773024;52.663635,21.6290525
Wójt Gminy Rząśnik;2;0.00;46.00;0;1;0;0;0;1;143503;2;Rząśnik;16743.0;7003.0;42;1279;gw;52.628061,21.273183 52.790610,21.494692;52.7093355,21.3839375
Wójt Gminy Długosiodło;2;0.00;47.50;0;1;0;0;0;1;143502;2;Długosiodło;16762.0;7853.0;47;1133;gw;52.691137,21.442502 52.839810,21.717890;52.7654735,21.580196
Wójt Gminy Somianka;2;0.00;38.50;0;1;0;0;0;1;143504;2;Somianka;11769.0;5593.0;48;1579;gw;52.509370,21.117752 52.638739,21.388942;52.5740545,21.253347
Burmistrz Wyszkowa;5;20.00;44.40;1;1;0;0;0;3;143505;3;Wyszków;16518.0;39395.0;238;130;gmw;52.522546,21.327051 52.656239,21.610399;52.5893925,21.468725
Wójt Gminy Zabrodzie;5;20.00;39.60;0;1;0;0;0;4;143506;2;Zabrodzie;9200.0;5869.0;64;1522;gw;52.462888,21.305862 52.541625,21.579539;52.5022565,21.4427005
Wójt Gminy Kuczbork - Osada;4;25.00;46.00;0;1;0;0;0;3;143702;2;Kuczbork-Osada;12159.0;4824.0;40;1777;gw;53.036529,19.924798 53.168117,20.137931;53.102323,20.0313645
Burmistrz Miasta i Gminy Bieżuń;3;0.00;49.33;0;1;0;0;0;2;143701;3;Bieżuń;12146.0;5088.0;42;1709;gmw;52.901466,19.817119 53.016013,20.058401;52.9587395,19.93776
Wójt Gminy Lutocin;4;0.00;48.50;1;0;0;1;0;2;143704;2;Lutocin;12645.0;4362.0;34;1893;gw;52.932046,19.665264 53.071629,19.874912;53.0018375,19.770088
Wójt Gminy Lubowidz;2;0.00;33.50;1;0;0;0;0;1;143703;2;Lubowidz;19078.0;6965.0;37;1285;gw;53.036734,19.634240 53.213158,19.974189;53.124946,19.8042145
Wójt Gminy Siemiątkowo;2;0.00;45.00;1;1;0;0;0;0;143705;2;Siemiątkowo;11340.0;3513.0;31;2098;gw;52.819882,19.927404 52.950065,20.147795;52.8849735,20.0375995
Burmistrz Gminy i Miasta Żuromin;5;20.00;39.20;1;1;0;1;0;2;143706;3;Żuromin;13292.0;14511.0;109;537;gmw;52.996651,19.734340 53.100431,20.077635;53.048541,19.9059875
Wójt Gminy Puszcza Mariańska;2;0.00;55.50;0;1;0;0;0;1;143803;2;Puszcza Mariańska;14318.0;8630.0;60;1022;gw;51.912276,20.198400 52.055331,20.458432;51.9838035,20.328416
Wójt Gminy Huszlew;2;0.00;44.50;1;1;0;0;0;0;141001;2;Huszlew;11771.0;2841.0;24;2206;gw;52.063526,22.698293 52.185769,22.968244;52.1246475,22.8332685
Wójt Gminy Platerów;2;0.00;47.50;1;1;0;0;0;0;141004;2;Platerów;12949.0;4943.0;38;1744;gw;52.200100,22.673726 52.383983,22.902603;52.2920415,22.7881645
Burmistrz Miasta i Gminy Łosice;2;0.00;46.50;0;1;0;0;0;1;141002;3;Łosice;12129.0;10884.0;90;784;gmw;52.152280,22.632576 52.283170,22.845332;52.217725,22.738954
Wójt Gminy Olszanka;5;20.00;45.00;0;1;0;0;0;4;141003;2;Olszanka;8763.0;3011.0;34;2185;gw;52.090861,22.561808 52.199471,22.766604;52.145166,22.664206
Wójt Gminy Stara Kornica;5;40.00;46.60;0;1;0;0;0;4;141006;2;Stara Kornica;11884.0;4849.0;41;1770;gw;52.117127,22.835624 52.250741,23.072457;52.183934,22.9540405
Wójt Gminy Sarnaki;3;33.33;54.67;0;0;0;0;0;3;141005;2;Sarnaki;19749.0;4807.0;24;1781;gw;52.214318,22.805613 52.374478,23.128409;52.294398,22.967011
Burmistrz Gminy Różan;2;0.00;45.00;0;1;0;0;0;1;141107;3;Różan;8458.0;4446.0;53;1873;gmw;52.826739,21.286158 52.949282,21.468877;52.8880105,21.3775175
Burmistrz Miasta Maków Mazowiecki;4;25.00;53.25;0;1;0;0;0;3;141101;1;Maków Mazowiecki;1028.0;9860.0;959;878;gm;52.841296,21.068084 52.882116,21.118126;52.861706,21.093105
Wójt Gminy Młynarze;3;33.33;44.00;0;1;0;0;0;2;141105;2;Młynarze;7486.0;1761.0;24;2283;gw;52.918410,21.287662 53.025926,21.497275;52.972168,21.3924685
Wójt Gminy Karniewo;2;50.00;45.50;0;1;0;0;0;1;141103;2;Karniewo;12906.0;5226.0;40;1675;gw;52.767783,20.861727 52.899884,21.093234;52.8338335,20.9774805
Wójt Gminy Czerwonka;2;0.00;37.00;0;1;0;0;0;1;141102;2;Czerwonka;11044.0;2682.0;24;2224;gw;52.844655,21.074861 52.950548,21.314445;52.8976015,21.194653
Wójt Gminy Krasnosielc;2;0.00;50.00;0;1;0;0;0;1;141104;2;Krasnosielc;16715.0;6440.0;39;1395;gw;52.973040,21.043515 53.138893,21.311607;53.0559665,21.177561
Wójt Gminy Płoniawy-Bramura;5;0.00;47.00;1;1;0;0;1;2;141106;2;Płoniawy-Bramura;13485.0;5464.0;41;1613;gw;52.892901,20.972607 53.070288,21.186949;52.9815945,21.079778
Wójt Gminy Sypniewo;2;0.00;50.50;0;0;0;0;0;2;141109;2;Sypniewo;12845.0;3346.0;26;2131;gw;52.924441,21.166714 53.066850,21.419745;52.9956455,21.2932295
Wójt Gminy Pacyna;2;50.00;45.50;0;0;0;0;0;2;140403;2;Pacyna;9029.0;3617.0;40;2081;gw;52.253680,19.613539 52.355666,19.805072;52.304673,19.7093055
Burmistrz Miasta Gostynina;4;50.00;45.00;1;1;0;0;0;2;140401;1;Gostynin;3240.0;18720.0;578;378;gm;52.386007,19.405440 52.462473,19.519768;52.42424,19.462604
Wójt Gminy Gostynin;3;33.33;50.33;1;1;0;0;0;1;140402;2;Gostynin;27037.0;12121.0;45;680;gw;52.333259,19.259214 52.526071,19.569259;52.429665,19.4142365
Wójt Gminy Szczawin Kościelny;2;50.00;59.50;1;0;0;0;0;1;140405;2;Szczawin Kościelny;12716.0;4914.0;39;1751;gw;52.287259,19.491544 52.416077,19.696615;52.351668,19.5940795
Burmistrz Miasta i Gminy Sanniki;4;25.00;45.50;1;1;0;0;0;2;140404;3;Sanniki;9459.0;6089.0;64;1470;gmw;52.271726,19.745843 52.391590,19.984537;52.331658,19.86519
Burmistrz Miasta Milanówka;5;40.00;46.60;0;1;0;0;0;4;140501;1;Milanówek;1344.0;16398.0;1220;451;gm;52.099386,20.636514 52.150320,20.704163;52.124853,20.6703385
Wójt Gminy Baranów;2;0.00;55.50;0;0;0;0;0;2;140503;2;Baranów;7534.0;5257.0;70;1665;gw;52.083595,20.394518 52.203233,20.559950;52.143414,20.477234
Burmistrz Miasta Podkowa Leśna;2;50.00;52.50;0;0;0;0;0;2;140502;1;Podkowa Leśna;1013.0;3875.0;383;2014;gm;52.089154,20.700211 52.133340,20.793682;52.111247,20.7469465
Wójt Gminy Jaktorów;3;33.33;52.33;0;0;0;0;0;3;140505;2;Jaktorów;5530.0;12105.0;219;682;gw;52.032617,20.439432 52.125823,20.583242;52.07922,20.511337
Burmistrz Grodziska Mazowieckiego;2;0.00;45.00;0;1;0;0;0;1;140504;3;Grodzisk Mazowiecki;10740.0;46671.0;435;102;gmw;52.032336,20.502821 52.165190,20.734502;52.098763,20.6186615
Wójt Gminy Żabia Wola;4;50.00;47.75;0;1;0;0;0;3;140506;2;Żabia Wola;10543.0;8541.0;81;1032;gw;51.924567,20.595165 52.071401,20.772164;51.997984,20.6836645
Wójt Gminy Goszczyn;4;25.00;55.25;0;0;0;0;0;4;140604;2;Goszczyn;5750.0;2976.0;52;2190;gw;51.699024,20.770655 51.784128,20.945215;51.741576,20.857935
Wójt Gminy Błędów;4;0.00;52.50;0;0;0;0;0;4;140602;2;Błędów;13405.0;7553.0;56;1186;gw;51.728849,20.557394 51.865805,20.771526;51.797327,20.66446
Wójt Gminy Belsk Buży;1;0.00;63.00;0;0;0;0;0;1;140601;2;Belsk Duży;10751.0;6561.0;61;1367;gw;51.755542,20.701418 51.867316,20.926141;51.811429,20.8137795
Wójt Gminy Chynów;2;50.00;52.50;0;0;0;0;0;2;140603;2;Chynów;13499.0;9863.0;73;877;gw;51.834383,20.953974 51.939613,21.206471;51.886998,21.0802225
Wójt Gminy Zatory;2;0.00;49.50;0;1;0;0;0;1;142407;2;Zatory;12012.0;4835.0;40;1775;gw;52.553588,21.102680 52.681644,21.305251;52.617616,21.2039655
Wójt Gminy Świercze;2;0.00;48.00;0;1;0;0;0;1;142405;2;Świercze;9337.0;4632.0;50;1826;gw;52.613739,20.694593 52.722046,20.908792;52.6678925,20.8016925
Burmistrz Miasta Pułtusk;5;0.00;50.80;1;1;0;1;0;2;142404;3;Pułtusk;13413.0;24613.0;184;252;gmw;52.649728,20.977583 52.803773,21.190630;52.7267505,21.0841065
Wójt Gminy Winnica;2;0.00;44.00;1;1;0;0;0;0;142406;2;Winnica;11504.0;4095.0;36;1955;gw;52.556272,20.844573 52.715478,21.003618;52.635875,20.9240955
Burmistrz Miasta Pionki;4;25.00;55.25;1;1;0;0;0;2;142501;1;Pionki;1840.0;18618.0;1012;380;gm;51.439427,21.395436 51.504119,21.499642;51.471773,21.447539
Wójt Gminy Gózd;3;0.00;48.33;1;1;0;0;0;1;142502;2;Gózd;7795.0;8796.0;113;998;gw;51.330871,21.232397 51.402184,21.448314;51.3665275,21.3403555
Wójt Gminy Przytyk;4;0.00;35.75;0;0;0;0;0;4;142509;2;Przytyk;13437.0;7304.0;54;1229;gw;51.394716,20.757257 51.525320,20.989149;51.460018,20.873203
Wójt Gminy Jedlińsk;5;20.00;42.20;1;1;0;0;0;3;142505;2;Jedlińsk;13872.0;14423.0;104;541;gw;51.434823,20.984260 51.591369,21.236729;51.513096,21.1104945
Burmistrz Iłży;3;0.00;43.67;1;1;0;0;0;1;142503;3;Iłża;25602.0;14860.0;58;518;gmw;51.080286,21.091050 51.242843,21.425144;51.1615645,21.258097
Wójt Gminy Jastrzębia;5;40.00;49.00;1;1;0;0;0;3;142504;2;Jastrzębia;8976.0;7005.0;78;1278;gw;51.437939,21.174554 51.579931,21.329224;51.508935,21.251889
Burmistrz Miasta i Gminy Góra Kalwaria;4;25.00;46.25;0;1;0;0;0;3;141801;3;Góra Kalwaria;14412.0;26579.0;184;219;gmw;51.887954,21.073046 52.054768,21.281262;51.971361,21.177154
Wójt Gminy Jedlnia-Letnisko;4;25.00;48.50;1;1;0;0;0;2;142506;2;Jedlnia-Letnisko;6558.0;12654.0;193;650;gw;51.388769,21.201728 51.451529,21.435741;51.420149,21.3187345
Wójt Gminy Lesznowola;1;100.00;58.00;0;0;0;0;0;1;141803;2;Lesznowola;6930.0;25976.0;375;230;gw;52.022060,20.809666 52.120636,21.035504;52.071348,20.922585
Wójt Gminy Pionki;5;40.00;57.20;1;1;0;0;0;3;142508;2;Pionki;22973.0;10046.0;44;858;gw;51.385018,21.253479 51.558862,21.566598;51.47194,21.4100385
Burmistrz Gminy Konstancin-Jeziorna;3;0.00;64.33;0;1;0;0;0;2;141802;3;Konstancin-Jeziorna;7858.0;24776.0;315;249;gmw;52.032955,21.043714 52.144728,21.216738;52.0888415,21.130226
Wójt Gminy Wierzbica;3;0.00;50.67;1;1;0;0;0;1;142511;2;Wierzbica;9410.0;9799.0;104;887;gw;51.195848,21.001757 51.305659,21.198781;51.2507535,21.100269
Wójt Gminy Prażmów;3;0.00;43.67;0;0;0;0;0;3;141805;2;Prażmów;8647.0;10804.0;125;790;gw;51.907781,20.925763 52.020462,21.095900;51.9641215,21.0108315
Burmistrz Piaseczna;4;25.00;46.75;0;1;1;0;0;2;141804;3;Piaseczno;12826.0;82526.0;643;45;gmw;51.985703,20.867942 52.112903,21.130500;52.049303,20.999221
Burmistrz Tarczyna;2;100.00;51.50;0;0;0;0;0;2;141806;3;Tarczyn;11427.0;11415.0;100;749;gmw;51.921362,20.685189 52.029757,20.943390;51.9755595,20.8142895
Wójt Gminy Radzanowo;1;0.00;33.00;0;0;0;0;0;1;141910;2;Radzanowo;10445.0;8413.0;81;1047;gw;52.539842,19.730786 52.633994,19.973421;52.586918,19.8521035
Wójt Gminy Bodzanów;2;0.00;57.50;1;0;0;0;0;1;141902;2;Bodzanów;13635.0;8223.0;60;1078;gw;52.425481,19.860383 52.552144,20.143341;52.4888125,20.001862
Wójt Gminy Bielsk;2;0.00;52.00;0;1;0;0;0;1;141901;2;Bielsk;12517.0;9099.0;73;960;gw;52.587988,19.683620 52.735294,19.934431;52.661641,19.8090255
Wójt Gminy Bulkowo;1;0.00;42.00;0;0;0;0;0;1;141904;2;Bulkowo;11693.0;5650.0;48;1560;gw;52.505666,19.951414 52.607876,20.200597;52.556771,20.0760055
Wójt Gminy Brudzeń Duży;3;0.00;48.67;1;0;0;0;0;2;141903;2;Brudzeń Duży;15984.0;8274.0;52;1068;gw;52.570107,19.368276 52.725718,19.646023;52.6479125,19.5071495
Burmistrz Miasta i Gminy Gąbin;2;0.00;43.00;0;0;0;0;0;2;141906;3;Gąbin;14621.0;11045.0;76;770;gmw;52.336971,19.662587 52.493169,19.868304;52.41507,19.7654455
Prezydent Miasta Żyrardowa;5;20.00;47.20;0;1;1;0;0;3;143801;1;Żyrardów;1435.0;40243.0;2804;127;gm;52.030472,20.406373 52.080625,20.474776;52.0555485,20.4405745
Burmistrz Mszczonowa;2;0.00;56.00;0;0;0;0;0;2;143802;3;Mszczonów;15185.0;11603.0;76;730;gmw;51.844278,20.422986 52.022062,20.667096;51.93317,20.545041
Wójt Gminy Wiskitki;3;33.33;50.00;0;1;0;0;0;2;143805;2;Wiskitki;15015.0;9870.0;66;876;gw;51.999429,20.243295 52.156344,20.454328;52.0778865,20.3488115
Wójt Gminy Radziejowice;2;50.00;55.00;0;0;0;0;0;2;143804;2;Radziejowice;7301.0;5710.0;78;1545;gw;51.976805,20.408333 52.053970,20.624241;52.0153875,20.516287
Prezydent Miasta Ostrołęki;5;0.00;43.00;1;1;1;0;0;2;146101;1;Ostrołęka;3346.0;52451.0;1568;86;mm;53.043326,21.535617 53.112374,21.642500;53.07785,21.5890585
Prezydent Miasta Płocka;4;25.00;44.00;1;1;1;0;0;1;146201;1;Płock;8804.0;120787.0;1372;32;mm;52.473744,19.624148 52.597087,19.805857;52.5354155,19.7150025
Prezydent Miasta Radomia;7;0.00;46.86;1;1;0;0;0;5;146301;1;Radom (a);11180.0;214566.0;1919;14;mm;51.348621,21.053287 51.485855,21.259069;51.417238,21.156178
Prezydent Miasta Siedlce;4;25.00;52.50;0;1;0;0;0;3;146401;1;Siedlce;3186.0;77653.0;2437;47;mm;52.127550,22.220623 52.195947,22.330957;52.1617485,22.27579
Prezydent m.st. Warszawy;14;14.29;52.21;1;1;1;1;1;9;146501;1;Mst Warszawa (a);51724.0;1764615.0;3412;1;mm;52.097850,20.851688 52.368154,21.271151;52.233002,21.0614195
Wójt Gminy Rzewnie;4;25.00;56.50;0;0;0;0;0;4;141108;2;Rzewnie;11175.0;2651.0;24;2227;gw;52.772797,21.246598 52.878286,21.480404;52.8255415,21.363501
Wójt Gminy Szelków;1;0.00;51.00;1;0;0;0;0;0;141110;2;Szelków;11321.0;3704.0;33;2056;gw;52.756528,21.048356 52.875867,21.292161;52.8161975,21.1702585
Wójt Gminy Latowicz;2;0.00;45.50;0;1;0;0;0;1;141210;2;Latowicz;11405.0;5436.0;48;1622;gw;51.973573,21.652907 52.084046,21.887857;52.0288095,21.770382
Wójt Gminy Dobre;4;0.00;49.50;0;1;0;0;0;3;141206;2;Dobre;12490.0;6027.0;48;1484;gw;52.260362,21.569352 52.395006,21.803576;52.327684,21.686464
Wójt Gminy Cegłów;1;0.00;38.00;1;0;0;0;0;0;141204;2;Cegłów;9563.0;6146.0;64;1456;gw;52.053896,21.640634 52.186656,21.810555;52.120276,21.7255945
Wójt Gminy Dębe Wielkie;1;0.00;43.00;0;0;0;0;0;1;141205;2;Dębe Wielkie;7772.0;10227.0;132;840;gw;52.140892,21.383695 52.269882,21.525524;52.205387,21.4546095
Wójt Gminy Jakubów;1;100.00;48.00;0;0;0;0;0;1;141208;2;Jakubów;8698.0;5068.0;58;1711;gw;52.181941,21.589210 52.297183,21.772579;52.239562,21.6808945
Burmistrz Halinowa;1;0.00;37.00;0;0;0;0;0;1;141207;3;Halinów;6309.0;15926.0;252;475;gmw;52.163542,21.288676 52.279164,21.441388;52.221353,21.365032
Burmistrz Kałuszyna;2;0.00;39.50;1;1;0;0;0;0;141209;3;Kałuszyn;9439.0;5897.0;62;1514;gmw;52.168853,21.739466 52.292737,21.941795;52.230795,21.8406305
Wójt Gminy Stanisławów;5;20.00;53.60;0;1;0;0;0;4;141214;2;Stanisławów;10637.0;6737.0;63;1335;gw;52.227442,21.391263 52.345823,21.621332;52.2866325,21.5062975
Burmistrz Mrozów;3;0.00;51.67;0;1;0;0;0;2;141212;3;Mrozy;14492.0;8695.0;60;1011;gmw;52.037549,21.762499 52.203025,21.979916;52.120287,21.8712075
Wójt Gminy Mińsk Mazowiecki;2;50.00;50.00;0;1;0;0;0;1;141211;2;Mińsk Mazowiecki;11231.0;15258.0;136;503;gw;52.115213,21.469963 52.236599,21.694453;52.175906,21.582208
Wójt Gminy Siennica;3;0.00;33.00;1;1;0;0;0;1;141213;2;Siennica;11087.0;7466.0;67;1202;gw;52.002963,21.511785 52.134765,21.710649;52.068864,21.611217
Burmistrz Miasta Sulejówek;2;0.00;46.00;0;1;0;0;0;1;141215;1;Sulejówek;1931.0;19663.0;1018;351;gm;52.221393,21.237949 52.267543,21.325285;52.244468,21.281617
Wójt Gminy Jasieniec;5;60.00;41.20;0;0;0;0;0;5;140606;2;Jasieniec;10824.0;5371.0;50;1635;gw;51.735576,20.885690 51.852781,21.098182;51.7941785,20.991936
Burmistrz Gminy i Miasta Grójec;4;25.00;49.75;0;1;0;0;0;3;140605;3;Grójec;12135.0;25654.0;211;237;gmw;51.819704,20.764959 51.936725,21.013349;51.8782145,20.889154
Burmistrz Miasta i Gminy Nowe Miasto nad Pilicą;2;50.00;52.00;1;1;0;0;0;0;140608;3;Nowe Miasto nad Pilicą;15851.0;7863.0;50;1131;gmw;51.556399,20.385034 51.697190,20.662848;51.6267945,20.523941
Wójt Gminy Pniewy;2;0.00;51.50;0;0;0;0;0;2;140609;2;Pniewy;10232.0;4789.0;47;1784;gw;51.847751,20.641011 51.958447,20.833307;51.903099,20.737159
Burmistrz Warki;1;0.00;51.00;0;0;0;0;0;1;140611;3;Warka;20227.0;19269.0;95;364;gmw;51.680511,20.974645 51.901234,21.288226;51.7908725,21.1314355
Wójt Gminy Garbatka-Letnisko;2;50.00;52.50;0;1;0;0;0;1;140701;2;Garbatka-Letnisko;7383.0;5096.0;69;1707;gw;51.444391,21.536967 51.529644,21.762433;51.4870175,21.6497
Wójt Gminy Sieciechów;3;33.33;51.00;0;1;0;0;0;2;140707;2;Sieciechów;6252.0;3957.0;63;1991;gw;51.502186,21.627970 51.569712,21.833455;51.535949,21.7307125
Wójt Gminy Gniewoszów;3;0.00;50.00;0;1;0;0;0;2;140703;2;Gniewoszów;8410.0;3923.0;47;2002;gw;51.417252,21.715616 51.536123,21.873987;51.4766875,21.7948015
Wójt Gminy Skarbimierz;1;0.00;69.00;0;0;0;0;0;1;160102;2;Skarbimierz;11031.0;8057.0;73;1103;gw;50.803671,17.318666 50.925737,17.664981;50.864704,17.4918235
Burmistrz Brzegu;3;0.00;43.67;0;1;1;0;0;1;160101;1;Brzeg;1461.0;36110.0;2472;147;gm;50.839017,17.418139 50.878907,17.507573;50.858962,17.462856
Wójt Gminy Jemielnica;1;0.00;37.00;0;0;0;0;0;1;161102;2;Jemielnica;11346.0;7176.0;63;1255;gw;50.496864,18.311834 50.639756,18.482539;50.56831,18.3971865
Burmistrz Kolonowskiego;3;33.33;54.00;0;0;0;0;0;3;161103;3;Kolonowskie;8357.0;5898.0;71;1513;gmw;50.618545,18.260807 50.704463,18.468143;50.661504,18.364475
Burmistrz Leśnicy;1;0.00;39.00;0;0;0;0;0;1;161104;3;Leśnica;9475.0;7751.0;82;1148;gmw;50.376601,18.132138 50.491462,18.298558;50.4340315,18.215348
Burmistrz Ujazdu;3;0.00;37.00;0;0;0;0;1;2;161106;3;Ujazd;8331.0;6400.0;77;1404;gmw;50.356569,18.236291 50.483442,18.396310;50.4200055,18.3163005
Burmistrz Zawadzkiego;3;0.00;38.33;0;0;0;0;0;3;161107;3;Zawadzkie;8214.0;11464.0;140;742;gmw;50.540038,18.392560 50.634566,18.616259;50.587302,18.5044095
Prezydent Miasta Opola;6;50.00;46.33;0;1;1;1;0;3;166101;1;Opole;14888.0;128140.0;861;28;mm;50.587657,17.779591 50.769974,18.032696;50.6788155,17.9061435
Burmistrz Grodkowa;3;33.33;55.33;0;0;1;0;0;2;160103;3;Grodków;28595.0;19376.0;68;361;gmw;50.578816,17.207207 50.794919,17.510583;50.6868675,17.358895
Wójt Gminy Lubsza;4;25.00;48.50;0;1;1;0;1;1;160105;2;Lubsza;21270.0;8944.0;42;983;gw;50.847643,17.427415 50.999789,17.693715;50.923716,17.560565
Burmistrz Lewina Brzeskiego;1;0.00;56.00;0;0;0;0;0;1;160104;3;Lewin Brzeski;15963.0;13064.0;82;622;gmw;50.681579,17.513138 50.825425,17.763514;50.753502,17.638326
Wójt Gminy Olszanka;1;100.00;45.00;0;0;0;0;0;1;160106;2;Olszanka;9276.0;4942.0;53;1745;gw;50.719180,17.349024 50.828728,17.543122;50.773954,17.446073
Burmistrz Tułowic;1;0.00;51.00;0;0;0;0;0;1;160912;3;Tułowice;8125.0;5206.0;64;1685;gmw;50.550231,17.585752 50.638413,17.798040;50.594322,17.691896
Burmistrz Ozimka;6;16.67;45.50;0;1;0;0;0;5;160908;3;Ozimek;12567.0;19629.0;156;353;gmw;50.627159,18.098766 50.761533,18.354280;50.694346,18.226523
Wójt Gminy Popielów;3;66.67;51.33;0;0;0;0;0;3;160909;2;Popielów;17549.0;8119.0;46;1096;gw;50.769470,17.592676 50.919002,17.882131;50.844236,17.7374035
Wójt Gminy Tarnów Opolski;2;50.00;51.50;0;0;0;0;0;2;160911;2;Tarnów Opolski;8180.0;9612.0;118;902;gw;50.546655,17.949607 50.622347,18.162577;50.584501,18.056092
Wójt Gminy Turawa;2;0.00;46.50;0;0;0;0;0;2;160913;2;Turawa;17210.0;9905.0;58;873;gw;50.682246,17.958980 50.836441,18.263225;50.7593435,18.1111025
Burmistrz Głogówka;3;0.00;41.67;0;0;0;0;0;3;161002;3;Głogówek;16993.0;13351.0;79;598;gmw;50.265089,17.718175 50.426341,18.032261;50.345715,17.875218
Burmistrz Białej;2;0.00;51.00;0;0;0;0;0;2;161001;3;Biała;19625.0;10647.0;54;806;gmw;50.341344,17.551787 50.554603,17.813818;50.4479735,17.6828025
Burmistrz Prudnika;4;25.00;49.75;0;1;1;1;0;1;161004;3;Prudnik;12226.0;27374.0;224;211;gmw;50.269953,17.447659 50.413740,17.610112;50.3418465,17.5288855
Burmistrz Gorzowa Śląskiego;3;33.33;52.33;0;1;0;0;0;2;160802;3;Gorzów Śląski;15371.0;7162.0;47;1256;gmw;50.935934,18.291581 51.139194,18.511708;51.037564,18.4016445
Wójt Gminy Lubrza;3;0.00;42.00;1;1;0;0;0;1;161003;2;Lubrza;8311.0;4376.0;53;1889;gw;50.265982,17.555480 50.373477,17.768945;50.3197295,17.6622125
Burmistrz Dobrodzienia;2;50.00;47.00;0;0;0;0;0;2;160801;3;Dobrodzień;16282.0;9983.0;61;865;gmw;50.616501,18.313220 50.806552,18.581910;50.7115265,18.447565
Burmistrz Olesna;1;0.00;60.00;0;0;0;0;0;1;160803;3;Olesno;24090.0;17778.0;74;408;gmw;50.788928,18.329811 50.964483,18.654950;50.8767055,18.4923805
Wójt Gminy Izbicko;1;100.00;63.00;0;0;0;0;0;1;161101;2;Izbicko;8451.0;5418.0;64;1625;gw;50.492529,18.075758 50.649752,18.243988;50.5711405,18.159873
Wójt Gminy Rudniki;3;33.33;56.33;0;1;0;0;0;2;160806;2;Rudniki;10040.0;8242.0;82;1074;gw;50.963783,18.517465 51.082337,18.695487;51.02306,18.606476
Burmistrz Praszki;4;0.00;45.25;0;1;1;1;0;1;160804;3;Praszka;10303.0;13630.0;132;586;gmw;51.006762,18.402622 51.141103,18.580782;51.0739325,18.491702
Wójt Gminy Radłów;2;50.00;47.00;0;0;0;0;0;2;160805;2;Radłów;11687.0;4360.0;37;1894;gw;50.887534,18.426865 51.008829,18.629607;50.9481815,18.528236
Wójt Gminy Zębowice;2;0.00;51.50;0;0;0;0;0;2;160807;2;Zębowice;9565.0;3693.0;39;2059;gw;50.715267,18.225246 50.827812,18.442495;50.7715395,18.3338705
Wójt Gminy Murów;4;25.00;48.50;0;0;1;0;0;3;160906;2;Murów;16002.0;5397.0;34;1629;gw;50.799219,17.885712 50.968158,18.119206;50.8836885,18.002459
Prezydent Miasta Kędzierzyn-Koźle;4;25.00;53.50;0;1;0;1;0;2;160301;1;Kędzierzyn-Koźle;12371.0;61661.0;498;70;gm;50.285924,18.100881 50.404973,18.390216;50.3454485,18.2455485
Wójt Gminy Polska Cerekiew;2;0.00;49.50;0;0;0;0;0;2;160305;2;Polska Cerekiew;6012.0;4129.0;69;1947;gw;50.167211,18.051423 50.267968,18.185635;50.2175895,18.118529
Wójt Gminy Cisek;2;50.00;49.50;0;0;0;0;0;2;160303;2;Cisek;7108.0;5679.0;80;1555;gw;50.180955,18.150277 50.328910,18.266877;50.2549325,18.208577
