Year;Sex;Category;Name;Birthdate;Age;BirthPlace;County;BirthPlaceNow;Coords
1997;M;chemistry;Jens C. Skou;[1918];1997;Lemvig;Denmark;Lemvig, Denmark;56.5443443,8.3024871
1997;M;chemistry;John E. Walker;[1941];1997;Halifax;United Kingdom;Halifax, United Kingdom;53.72702,-1.85754
1997;M;chemistry;Paul D. Boyer;[1918];1997;Provo UT;USA;Provo UT, USA;40.2338438,-111.6585337
1997;M;economics;Myron S. Scholes;[1941];1997;Timmins ON;Canada;Timmins ON, Canada;48.4758208,-81.3304953
1997;M;economics;Robert C. Merton;[1949];1997;New York NY;USA;New York NY, USA;48.4758208,-81.3304953
1997;M;literature;Dario Fo;[2026];1997;Leggiuno-Sangiano;Italy;Leggiuno-Sangiano, Italy;45.8747686,8.6207601
1997;M;medicine;Stanley B. Prusiner;[1942];1997;Des Moines IA;USA;Des Moines IA, USA;41.6005448,-93.6091064
1997;NA;peace;International Campaign to Ban Landmines (ICBL);;1997;;;, ;NOK[ZERO_RESULTS]
1997;F;peace;Jody Williams;[1950];1997;Putney VT;USA;Putney VT, USA;42.975268,-72.5217237
1997;M;physics;Claude Cohen-Tannoudji;[1933];1997;Constantine;Algeria;Constantine, Algeria;36.360155,6.642433
1997;M;physics;Steven Chu;[1948];1997;St. Louis MO;USA;St. Louis MO, USA;36.360155,6.642433
1997;M;physics;William D. Phillips;[1948];1997;Wilkes-Barre PA;USA;Wilkes-Barre PA, USA;36.360155,6.642433
1998;M;chemistry;John A. Pople;[1925];1998;Burnham-on-Sea;United Kingdom;Burnham-on-Sea, United Kingdom;51.240139,-2.993858
1998;M;chemistry;Walter Kohn;[2023];1998;Vienna;Austria;Vienna, Austria;51.240139,-2.993858
1998;M;economics;Amartya Sen;[1933];1998;Santiniketan;India;Santiniketan, India;23.6776471,87.6852323
1998;M;literature;José Saramago;[1922];1998;Azinhaga;Portugal;Azinhaga, Portugal;39.3692437,-8.539144
1998;M;medicine;Ferid Murad;[1936];1998;Whiting IN;USA;Whiting IN, USA;41.6797578,-87.4944873
1998;M;medicine;Louis J. Ignarro;[1941];1998;Brooklyn NY;USA;Brooklyn NY, USA;41.6797578,-87.4944873
1998;M;medicine;Robert F. Furchgott;[1916];1998;Charleston SC;USA;Charleston SC, USA;32.7764749,-79.9310512
1998;M;peace;David Trimble;[1944];1998;Belfast;Northern Ireland;Belfast, Northern Ireland;32.7764749,-79.9310512
1998;M;peace;John Hume;[1937];1998;Londonderry;Northern Ireland;Londonderry, Northern Ireland;54.9966124,-7.3085748
1998;M;physics;Daniel C. Tsui;[1939];1998;Henan;China;Henan, China;34.2904302,113.3823545
1998;M;physics;Horst L. Störmer;[1949];1998;Frankfurt-on-the-Main;West Germany;Frankfurt-on-the-Main, West Germany;34.2904302,113.3823545
1998;M;physics;Robert B. Laughlin;[1950];1998;Visalia CA;USA;Visalia CA, USA;36.3302284,-119.2920585
1999;M;chemistry;Ahmed H. Zewail;[1946];1999;Damanhur;Egypt;Damanhur, Egypt;31.0424566,30.4727503
1999;M;economics;Robert A. Mundell;[1932];1999;Kingston ON;Canada;Kingston ON, Canada;44.2311717,-76.4859544
1999;M;literature;Günter Grass;[1927];1999;Danzig;Free City of Danzig;Gdansk, Poland;54.3520252,18.6466384
1999;M;medicine;Günter Blobel;[1936];1999;Waltersdorf;Germany;Niegoslawice, Poland;51.5875867,15.7131691
1999;NA;peace;Médecins Sans Frontičres;[1971];1999;;France;, France;46.227638,2.213749
1999;M;physics;Gerardus 't Hooft;[1946];1999;Den Helder;the Netherlands;Den Helder, the Netherlands;52.9562808,4.7607971
1999;M;physics;Martinus J.G. Veltman;[1931];1999;Waalwijk;the Netherlands;Waalwijk, the Netherlands;51.6878954,5.0574822
2000;M;chemistry;Alan G. MacDiarmid;[1927];2000;Masterton;New Zealand;Masterton, New Zealand;-40.9511118,175.6573502
2000;M;chemistry;Alan J. Heeger;[1936];2000;Sioux City IA;USA;Sioux City IA, USA;42.4999942,-96.4003069
2000;M;chemistry;Hideki Shirakawa;[1936];2000;Tokyo;Japan;Tokyo, Japan;42.4999942,-96.4003069
2000;M;economics;Daniel L. McFadden;[1937];2000;Raleigh NC;USA;Raleigh NC, USA;35.7795897,-78.6381787
2000;M;economics;James J. Heckman;[1944];2000;Chicago IL;USA;Chicago IL, USA;35.7795897,-78.6381787
2000;M;literature;Gao Xingjian;[1940];2000;Ganzhou;China;Ganzhou, China;25.830694,114.933546
2000;M;medicine;Arvid Carlsson;[1923];2000;Uppsala;Sweden;Uppsala, Sweden;25.830694,114.933546
2000;M;medicine;Eric R. Kandel;[1929];2000;Vienna;Austria;Vienna, Austria;25.830694,114.933546
2000;M;medicine;Paul Greengard;[1925];2000;New York NY;USA;New York NY, USA;25.830694,114.933546
2000;M;peace;Kim Dae-jung;[1925];2000;Mokpo;Korea;Mokpo, South Korea;34.8118351,126.3921664
2000;M;physics;Herbert Kroemer;[1928];2000;Weimar;Germany;Weimar, Germany;50.9794934,11.3235439
2000;M;physics;Jack S. Kilby;[1923];2000;Jefferson City MO;USA;Jefferson City MO, USA;38.5767017,-92.1735164
2000;M;physics;Zhores I. Alferov;[1930];2000;Vitebsk Belorussia;USSR;Vitebsk, Belarus;55.1848061,30.201622
2001;M;chemistry;K. Barry Sharpless;[1941];2001;Philadelphia PA;USA;Philadelphia PA, USA;55.1848061,30.201622
2001;M;chemistry;Ryoji Noyori;[1938];2001;Kobe;Japan;Kobe, Japan;34.690083,135.1955112
2001;M;chemistry;William S. Knowles;[1917];2001;Taunton MA;USA;Taunton MA, USA;41.900101,-71.0897674
2001;M;economics;A. Michael Spence;1943;58;Montclair NJ;USA;Montclair NJ, USA;41.900101,-71.0897674
2001;M;economics;George A. Akerlof;[1940];2001;New Haven CT;USA;New Haven CT, USA;41.900101,-71.0897674
2001;M;economics;Joseph E. Stiglitz;[1943];2001;Gary IN;USA;Gary IN, USA;41.900101,-71.0897674
2001;M;literature;Sir Vidiadhar Surajprasad Naipaul;[1932];2001;Chaguanas;Trinidad;Chaguanas, Trinidad;10.5331201,-61.3968598
2001;M;medicine;Leland H. Hartwell;[1939];2001;Los Angeles CA;USA;Los Angeles CA, USA;10.5331201,-61.3968598
2001;M;medicine;Sir Paul M. Nurse;[1949];2001;Norwich;United Kingdom;Norwich, United Kingdom;52.6308859,1.297355
2001;M;medicine;Tim Hunt;[1943];2001;Neston;United Kingdom;Neston, United Kingdom;53.290584,-3.069102
2001;M;peace;Kofi Annan;[1938];2001;Kumasi;Gold Coast;Kumasi, Ghana;6.6666004,-1.6162709
2001;NA;peace;United Nations (U.N.);[1945];2001;NY;USA;NY, USA;6.6666004,-1.6162709
2001;M;physics;Carl E. Wieman;[1951];2001;Corvallis OR;USA;Corvallis OR, USA;44.5645659,-123.2620435
2001;M;physics;Eric A. Cornell;[1961];2001;Palo Alto CF;USA;Palo Alto CF, USA;37.4418834,-122.1430195
2001;M;physics;Wolfgang Ketterle;[1957];2001;Heidelberg;West Germany;Heidelberg, West Germany;49.3987524,8.6724335
2002;M;chemistry;John B. Fenn;[1917];2002;New York NY;USA;New York NY, USA;49.3987524,8.6724335
2002;M;chemistry;Koichi Tanaka;[1959];2002;Toyama City;Japan;Toyama City, Japan;36.6959518,137.2136768
2002;M;chemistry;Kurt Wüthrich;[1938];2002;Aarberg;Switzerland;Aarberg, Switzerland;47.0420553,7.2751012
2002;M;economics;Daniel Kahneman;[1934];2002;Tel Aviv;British Mandate of Palestine;Tel Aviv, Israel;32.0852999,34.7817676
2002;M;economics;Vernon L. Smith;[1927];2002;Wichita KS;USA;Wichita KS, USA;37.6871761,-97.330053
2002;M;literature;Imre Kertész;[1929];2002;Budapest;Hungary;Budapest, Hungary;37.6871761,-97.330053
2002;M;medicine;H. Robert Horvitz;[1947];2002;Chicago IL;USA;Chicago IL, USA;37.6871761,-97.330053
2002;M;medicine;John E. Sulston;[1942];2002;Cambridge;United Kingdom;Cambridge, United Kingdom;37.6871761,-97.330053
2002;M;medicine;Sydney Brenner;[1927];2002;Germiston;South Africa;Germiston, South Africa;-26.2258734,28.1707794
2002;M;peace;Jimmy Carter;[1924];2002;Plains GA;USA;Plains GA, USA;32.0340508,-84.3926912
2002;M;physics;Masatoshi Koshiba;[1926];2002;Toyohashi;Japan;Toyohashi, Japan;34.7691995,137.3914662
2002;M;physics;Raymond Davis Jr.;[1914];2002;Washington DC;USA;Washington DC, USA;34.7691995,137.3914662
2002;M;physics;Riccardo Giacconi;[1931];2002;Genoa;Italy;Genoa, Italy;34.7691995,137.3914662
2003;M;chemistry;Peter Agre;[1949];2003;Northfield MN;USA;Northfield MN, USA;44.4582983,-93.161604
2003;M;chemistry;Roderick MacKinnon;[1956];2003;Burlington MA;USA;Burlington MA, USA;42.5047161,-71.1956205
2003;M;economics;Clive W.J. Granger;[1934];2003;Swansea;United Kingdom;Swansea, United Kingdom;51.62144,-3.943646
2003;M;economics;Robert F. Engle III;[1942];2003;Syracuse NY;USA;Syracuse NY, USA;43.0481221,-76.1474244
2003;M;literature;John M. Coetzee;[1940];2003;Cape Town;South Africa;Cape Town, South Africa;-33.9248685,18.4240553
2003;M;medicine;Paul C. Lauterbur;[1929];2003;Sidney OH;USA;Sidney OH, USA;40.2842164,-84.1554987
2003;M;medicine;Sir Peter Mansfield;[1933];2003;London;United Kingdom;London, United Kingdom;40.2842164,-84.1554987
2003;F;peace;Shirin Ebadi;[1947];2003;Hamadan;Iran;Hamadan, Iran;34.7988575,48.5150225
2003;M;physics;Alexei A. Abrikosov;[1928];2003;Moscow;USSR;Moscow, Russia;34.7988575,48.5150225
2003;M;physics;Anthony J. Leggett;[1938];2003;London;United Kingdom;London, United Kingdom;34.7988575,48.5150225
2003;M;physics;Vitaly L. Ginzburg;[1916];2003;Moscow;Russia;Moscow, Russia;34.7988575,48.5150225
2004;M;chemistry;Aaron Ciechanover;[1947];2004;Haifa;British Protectorate of Palestine;Haifa, Israel;32.7940463,34.989571
2004;M;chemistry;Avram Hershko;[1937];2004;Karcag;Hungary;Karcag, Hungary;47.3148629,20.9196518
2004;M;chemistry;Irwin Rose;[1926];2004;Brooklyn NY;USA;Brooklyn NY, USA;47.3148629,20.9196518
2004;M;economics;Edward C. Prescott;[1940];2004;Glens Falls NY;USA;Glens Falls NY, USA;43.3095164,-73.6440058
2004;M;economics;Finn E. Kydland;[1943];2004;Gjesdal;Norway;Gjesdal, Norway;58.8353384,6.3127272
2004;F;literature;Elfriede Jelinek;[1946];2004;Mürzzuschlag;Austria;Mürzzuschlag, Austria;47.60687,15.67171
2004;F;medicine;Linda B. Buck;[1947];2004;Seattle WA;USA;Seattle WA, USA;47.6062095,-122.3320708
2004;M;medicine;Richard Axel;[1946];2004;New York NY;USA;New York NY, USA;47.6062095,-122.3320708
2004;F;peace;Wangari Muta Maathai;[1940];2004;Nyeri;Kenya;Nyeri, Kenya;-0.437099,36.9580104
2004;M;physics;David J. Gross;[1941];2004;Washington DC;USA;Washington DC, USA;-0.437099,36.9580104
2004;M;physics;Frank Wilczek;[1951];2004;New York NY;USA;New York NY, USA;-0.437099,36.9580104
2004;M;physics;H. David Politzer;[1949];2004;New York NY;USA;New York NY, USA;-0.437099,36.9580104
2005;M;chemistry;Richard R. Schrock;[1945];2005;Berne IN;USA;Berne IN, USA;40.6578242,-84.9519115
2005;M;chemistry;Robert H. Grubbs;[1942];2005;Possum Trot KY;USA;Possum Trot KY, USA;37.0056129,-88.4305964
2005;M;chemistry;Yves Chauvin;[1930];2005;Menin;France;Menin, France;50.8519937,2.8911326
2005;M;economics;Robert J. Aumann;[1930];2005;Frankfurt-on-the-Main;Germany;Frankfurt-on-the-Main, Germany;50.8519937,2.8911326
2005;M;economics;Thomas C. Schelling;[1921];2005;Oakland CA;USA;Oakland CA, USA;37.8043637,-122.2711137
2005;M;literature;Harold Pinter;[1930];2005;London;United Kingdom;London, United Kingdom;37.8043637,-122.2711137
2005;M;medicine;Barry J. Marshall;[1951];2005;Kalgoorlie;Australia;Kalgoorlie, Australia;-30.749,121.466
2005;M;medicine;J. Robin Warren;[1937];2005;Adelaide;Australia;Adelaide, Australia;-30.749,121.466
2005;NA;peace;International Atomic Energy Agency (IAEA);[1957];2005;;Austria;, Austria;47.516231,14.550072
2005;M;peace;Mohamed ElBaradei;[1942];2005;Cairo;Egypt;Cairo, Egypt;47.516231,14.550072
2005;M;physics;John L. Hall;[1934];2005;Denver CO;USA;Denver CO, USA;39.7392358,-104.990251
2005;M;physics;Roy J. Glauber;[1925];2005;New York NY;USA;New York NY, USA;39.7392358,-104.990251
2005;M;physics;Theodor W. Hänsch;[1941];2005;Heidelberg;Germany;Heidelberg, Germany;39.7392358,-104.990251
2006;M;chemistry;Roger D. Kornberg;[1947];2006;St. Louis MO;USA;St. Louis MO, USA;39.7392358,-104.990251
2006;M;economics;Edmund S. Phelps;[1933];2006;Evanston IL;USA;Evanston IL, USA;42.0450722,-87.6876969
2006;M;literature;Orhan Pamuk;[1952];2006;Istanbul;Turkey;Istanbul, Turkey;41.0082376,28.9783589
2006;M;medicine;Andrew Z. Fire;[1959];2006;Stanford CA;USA;Stanford CA, USA;37.424106,-122.1660756
2006;M;medicine;Craig C. Mello;[1960];2006;New Haven CT;USA;New Haven CT, USA;37.424106,-122.1660756
2006;NA;peace;Grameen Bank;[1976];2006;;Bangladesh;, Bangladesh;23.684994,90.356331
2006;M;peace;Muhammad Yunus;[1940];2006;Chittagong;British India;Chittagong, Bangladesh;22.356851,91.7831819
2006;M;physics;George F. Smoot;[1945];2006;Yukon FL;USA;Yukon FL, USA;30.2346543,-81.6979968
2006;M;physics;John C. Mather;[1946];2006;Roanoke VA;USA;Roanoke VA, USA;37.2709704,-79.9414266
2007;M;chemistry;Gerhard Ertl;[1936];2007;Bad Cannstatt;Germany;Bad Cannstatt, Germany;48.8084576,9.2250355
2007;M;economics;Eric S. Maskin;[1950];2007;New York NY;USA;New York NY, USA;48.8084576,9.2250355
2007;M;economics;Leonid Hurwicz;[1917];2007;Moscow;Russia;Moscow, Russia;48.8084576,9.2250355
2007;M;economics;Roger B. Myerson;[1951];2007;Boston MA;USA;Boston MA, USA;48.8084576,9.2250355
2007;F;literature;Doris Lessing;[1919];2007;Kermanshah;Persia;Kermanshah, Iran;34.3276924,47.0777685
2007;M;medicine;Mario R. Capecchi;[1937];2007;Verona;Italy;Verona, Italy;45.4383842,10.9916215
2007;M;medicine;Oliver Smithies;[1925];2007;Halifax;United Kingdom;Halifax, United Kingdom;45.4383842,10.9916215
2007;M;medicine;Sir Martin J. Evans;[1941];2007;Stroud;United Kingdom;Stroud, United Kingdom;51.745734,-2.217758
2007;M;peace;Albert Arnold (Al) Gore Jr.;[1948];2007;Washington DC;USA;Washington DC, USA;51.745734,-2.217758
2007;NA;peace;Intergovernmental Panel on Climate Change (IPCC);[1988];2007;NY;USA;NY, USA;51.745734,-2.217758
2007;M;physics;Albert Fert;[1938];2007;Carcassonne;France;Carcassonne, France;51.745734,-2.217758
2007;M;physics;Peter Grünberg;[1939];2007;Plzen;Czechoslovakia;Plzen, Czech Republic;49.7384314,13.3736371
2008;M;chemistry;Martin Chalfie;1947;61;Chicago IL;USA;Chicago IL, USA;49.7384314,13.3736371
2008;M;chemistry;Osamu Shimomura;1928;80;Kyoto;Japan;Kyoto, Japan;49.7384314,13.3736371
2008;M;chemistry;Roger Y. Tsien;[1952];2008;New York NY;USA;New York NY, USA;49.7384314,13.3736371
2008;M;economics;Paul Krugman;[1953];2008;New York NY;USA;New York NY, USA;49.7384314,13.3736371
2008;M;literature;Jean-Marie Gustave Le Clézio;[1940];2008;Nice;France;Nice, France;43.7101728,7.2619532
2008;F;medicine;Françoise Barré-Sinoussi;[1947];2008;Paris;France;Paris, France;43.7101728,7.2619532
2008;M;medicine;Harald zur Hausen;[1936];2008;Gelsenkirchen;Germany;Gelsenkirchen, Germany;51.517744,7.0857172
2008;M;medicine;Luc Montagnier;[1932];2008;Chabris;France;Chabris, France;47.25447,1.654295
2008;M;peace;Martti Ahtisaari;[1937];2008;Viipuri;Finland;Vyborg, Russia;60.7139529,28.7571571
2008;M;physics;Makoto Kobayashi;[1944];2008;Nagoya;Japan;Nagoya, Japan;60.7139529,28.7571571
2008;M;physics;Toshihide Maskawa;1940;68;Nagoya;Japan;Nagoya, Japan;60.7139529,28.7571571
2008;M;physics;Yoichiro Nambu;[1921];2008;Tokyo;Japan;Tokyo, Japan;60.7139529,28.7571571
2009;F;chemistry;Ada E. Yonath;[1939];2009;Jerusalem;Israel;Jerusalem, Israel;60.7139529,28.7571571
2009;M;chemistry;Thomas A. Steitz;[1940];2009;Milwaukee WI;USA;Milwaukee WI, USA;60.7139529,28.7571571
2009;M;chemistry;Venkatraman Ramakrishnan;1952;57;Chidambaram Tamil Nadu;India;Chidambaram Tamil Nadu, India;11.3981936,79.6953594
2009;F;economics;Elinor Ostrom;[1933];2009;New York NY;USA;New York NY, USA;11.3981936,79.6953594
2009;M;economics;Oliver E. Williamson;[1932];2009;Superior WI;USA;Superior WI, USA;46.7207737,-92.1040796
2009;F;literature;Herta Müller;[1953];2009;Nitzkydorf Banat;Romania;Nitzkydorf Banat, Romania;45.578502,21.5359018
2009;M;medicine;Carol W. Greider;[1961];2009;San Diego CA;USA;San Diego CA, USA;32.715738,-117.1610838
2009;F;medicine;Elizabeth H. Blackburn;[1948];2009;Hobart Tasmania;Australia;Hobart Tasmania, Australia;-42.8821377,147.3271949
2009;M;medicine;Jack W. Szostak;[1952];2009;London;United Kingdom;London, United Kingdom;-42.8821377,147.3271949
2009;M;peace;Barack H. Obama;[1961];2009;Honolulu HI;USA;Honolulu HI, USA;21.3069444,-157.8583333
2009;M;physics;Charles K. Kao;[1933];2009;Shanghai;China;Shanghai, China;21.3069444,-157.8583333
2009;M;physics;George E. Smith;[1930];2009;White Plains NY;USA;White Plains NY, USA;41.0339862,-73.7629097
2009;M;physics;Willard S. Boyle;[1924];2009;Amherst NS;Canada;Amherst NS, Canada;45.816667,-64.2167206
2010;M;chemistry;Akira Suzuki;1930;80;Mukawa;Japan;Mukawa, Japan;42.5748066,141.9267504
2010;M;chemistry;Ei-ichi Negishi;1935;75;Changchun;China;Changchun, China;43.817071,125.323544
2010;M;chemistry;Richard F. Heck;1931;79;Springfield MA;USA;Springfield MA, USA;42.1014831,-72.589811
2010;M;economics;Christopher A. Pissarides;1948;62;Nicosia;Cyprys;Nicosia, Cyprys;35.1855659,33.3822764
2010;M;economics;Dale T. Mortensen;1939;71;Enterprise OR;USA;Enterprise OR, USA;45.4262617,-117.2787816
2010;M;economics;Peter A. Diamond;1940;70;New York NY;USA;New York NY, USA;45.4262617,-117.2787816
2010;M;literature;Mario Vargas Llosa;[1936];2010;Arequipa;Peru;Arequipa, Peru;-16.4090474,-71.537451
2010;M;medicine;Robert G. Edwards;1925;85;Batley;United Kingdom;Batley, United Kingdom;53.717028,-1.635083
2010;M;peace;Liu Xiaobo;1955;55;Changchun;China;Changchun, China;53.717028,-1.635083
2010;M;physics;Andre Geim;1958;52;Sochi;Russia;Sochi, Russia;43.6028079,39.7341543
2010;M;physics;Konstantin Novoselov;1974;36;Nizhny Tagil;Russia;Nizhny Tagil, Russia;57.9214912,59.9816185
2011;M;chemistry;Dan Shechtman;1941;70;TelAviv;Israel;TelAviv, Israel;32.0852999,34.7817676
2011;M;economics;Thomas J. Sargent;1943;68;Pasadena;USA;Pasadena, USA;34.1477849,-118.1445155
2011;M;economics;Christopher A. Sims;1942;69;Washington DC;USA;Washington DC, USA;34.1477849,-118.1445155
2011;M;literature;Tomas Tranströmer;1931;80;Stockholm;Sweden;Stockholm, Sweden;34.1477849,-118.1445155
2011;M;medicine;Bruce A. Beutler;1957;54;Chicago IL;USA;Chicago IL, USA;34.1477849,-118.1445155
2011;M;medicine;Ralph M. Steinman;1943;68;Montreal;Canada;Montreal, Canada;34.1477849,-118.1445155
2011;M;medicine;Jules A. Hoffmann;1941;70;Echternach;Luxembourg;Echternach, Luxembourg;49.8114133,6.4175635
2011;F;peace;Tawakkol Karman;1979;32;Ta'izz;Yemen;Ta'izz, Yemen;13.5775886,44.0177989
2011;F;peace;Leymah Gbowee;1972;39;Monrovia;Liberia;Monrovia, Liberia;6.2907432,-10.7605239
2011;F;peace;Ellen Johnson-Sirleaf;1938;73;Monrovia;Liberia;Monrovia, Liberia;6.2907432,-10.7605239
2011;M;physics;Adam G. Riess;1969;42;Washington DC;USA;Washington DC, USA;6.2907432,-10.7605239
2011;M;physics;Brian P. Schmidt;1967;44;Missoula MT;USA;Missoula MT, USA;46.8721284,-113.9940314
2011;M;physics;Saul Perlmutter;1959;52;Champaign-Urbana IL;USA;Champaign-Urbana IL, USA;40.1105875,-88.2072697
2012;M;chemistry;Brian K. Kobilka;1955;57;Little Falls MN;USA;Little Falls MN, USA;45.9805556,-94.3694444
2012;M;chemistry;Robert J. Lefkowitz;1943;69;New York NY;USA;New York NY, USA;45.9805556,-94.3694444
2012;M;economics;Alvin E. Roth;1951;61;New York NY;USA;New York NY, USA;45.9805556,-94.3694444
2012;M;economics;Lloyd S. Shapley;1923;89;Tucson AZ;USA;Tucson AZ, USA;32.2226066,-110.9747108
2012;M;literature;Mo Yan;1955;57;Gaomi;China;Gaomi, China;36.377539,119.757032
2012;M;medicine;Shinya Yamanaka;1962;50;Higashiōsaka;Japan;Higashiōsaka, Japan;34.6793301,135.6010123
2012;M;medicine;Sir John B. Gurdon;1933;79;Dippenhall;United Kingdom;Dippenhall, United Kingdom;51.215166,-0.831976
2012;M;physics;David J. Wineland;1944;68;Milwaukee WI;USA;Milwaukee WI, USA;51.215166,-0.831976
2012;M;physics;Serge Haroche;1944;68;Casablanca;Morocco;Casablanca, Morocco;33.5731104,-7.5898434
2013;M;chemistry;Michael Levitt;1947;66;Pretoria;South Africa;Pretoria, South Africa;33.5731104,-7.5898434
2013;M;chemistry;Arieh Warshel;1940;73;Kibuc Sde Nahum;Israel;Kibuc Sde Nahum, Israel;32.525068,35.480855
2013;M;chemistry;Martin Karplus;1930;83;Wien;Austria;Wien, Austria;48.2081743,16.3738189
2013;M;economics;Lars Peter Hansen;1952;61;Urbana IL;USA;Urbana IL, USA;48.2081743,16.3738189
2013;M;economics;Robert J. Shiller;1946;67;Detroit MI;USA;Detroit MI, USA;48.2081743,16.3738189
2013;M;economics;Eugene F. Fama;1939;74;Boston MA;USA;Boston MA, USA;48.2081743,16.3738189
2013;F;literature;Alice Munro;1931;82;Wingham Ontario;Canada;Wingham Ontario, Canada;43.8879476,-81.3116601
2013;M;medicine;Thomas C. Südhof;1955;58;Göttingen;Germany;Göttingen, Germany;51.5412804,9.9158035
2013;M;medicine;James E. Rothman;1950;63;Haverhill MA;USA;Haverhill MA, USA;42.7762015,-71.0772796
2013;M;medicine;Randy W. Schekman;1948;65;Saint Paul MN;USA;Saint Paul MN, USA;44.9537029,-93.0899578
2013;M;physics;François Englert;1932;81;Etterbeek;Belgium;Etterbeek, Belgium;50.832578,4.3889939
2013;M;physics;Peter Higgs;1929;84;Newcastle upon Tyne;United Kingdom;Newcastle upon Tyne, United Kingdom;54.978252,-1.61778
2014;M;physics;Isamu Akasaki;1929;85;Chiran;Japan;Chiran, Japan;31.377265,130.4400729
2014;M;physics;Hiroshi Amano;1960;54;Hamamatsu;Japan;Hamamatsu, Japan;34.7108344,137.7261258
2014;M;physics;Shuji Nakamura;1954;60;Ikata;Japan;Ikata, Japan;33.4885738,132.354012
2014;M;chemistry;Eric Betzig;1960;54;Ann Arbor MI;USA;Ann Arbor MI, USA;33.4885738,132.354012
2014;M;chemistry;Stefan W. Hell;1962;52;Arad;Romania;Arad, Romania;46.1865606,21.3122677
2014;M;chemistry;William E. Moerner;1953;61;Pleasanton CA;USA;Pleasanton CA, USA;37.6624312,-121.8746789
2014;M;medicine;John O'Keefe;1939;75;Nowy Jork NY;USA;Nowy Jork NY, USA;40.7127753,-74.0059728
2014;F;medicine;May-Britt Moser;1963;51;Fosnavåg;Norway;Fosnavåg, Norway;62.3413767,5.6310689
2014;M;medicine;Edvard I. Moser;1962;52;Ålesund;Norway;Ålesund, Norway;62.4722284,6.1494821
2014;M;literature;Patrick Modiano;1945;69;Boulogne-Billancourt;France;Boulogne-Billancourt, France;48.8396952,2.2399123
2014;M;peace;Kailash Satyarthi;1954;60;Vidisa;India;Vidisa, India;23.5251102,77.8081363
2014;M;peace;Malala Yousafzai;1997;17;Mingora;Pakistan;Mingora, Pakistan;34.7717466,72.3601512
2014;M;economics;Jean Tirole;1953;61;Troyes;France;Troyes, France;48.2973451,4.0744009
2015;M;physics;Takaaki Kajita;1959;56;Higashimatsuyama;Japan;Higashimatsuyama, Japan;36.0421262,139.3999588
2015;M;physics;Arthur B. McDonald;1943;72;North Sydney Nova Scotia;Canada;North Sydney Nova Scotia, Canada;46.2064806,-60.2523805
2015;M;chemistry;Tomas Lindahl;1938;77;Stockholm;Sweden;Stockholm, Sweden;46.2064806,-60.2523805
2015;M;chemistry;Paul Modrich;1946;69;Raton NM;USA;Raton NM, USA;36.9033581,-104.4391532
2015;M;chemistry;Aziz Sancar;1946;69;Savur;Turkey;Savur, Turkey;37.5484936,40.913211
2015;M;medicine;William C. Campbell;1930;85;Ramelton;Irland;Ramelton, Irland;55.0359,-7.64809
2015;M;medicine;Satoshi Ōmura;1935;80;Nirasaki;Japan;Nirasaki, Japan;35.708897,138.4461267
2015;F;literature;Svetlana Alexievich;1948;67;Iwano-Frankiwsk;Ukraine;Iwano-Frankiwsk, Ukraine;48.922633,24.711117
2015;NA;peace;NA;;2015;;;, ;48.922633,24.711117
2015;M;economics;Angus Deaton;1945;70;Edinburgh;United Kingdom;Edinburgh, United Kingdom;55.953252,-3.188267
2016;M;physics;David J. Thouless;1934;82;Bearsden;United Kingdom;Bearsden, United Kingdom;55.92169,-4.335525
2016;M;physics;F. Duncan M. Haldane;1951;65;London;United Kingdom;London, United Kingdom;55.92169,-4.335525
2016;M;physics;J. Michael Kosterlitz;1943;73;Aberdeen;United Kingdom;Aberdeen, United Kingdom;57.149717,-2.094278
2016;M;chemistry;Jean-Pierre Sauvage;1944;72;Paris;France;Paris, France;57.149717,-2.094278
2016;M;chemistry;Sir J. Fraser Stoddart;1942;74;Edinburgh;United Kingdom;Edinburgh, United Kingdom;57.149717,-2.094278
2016;M;chemistry;Bernard L. Feringa;1951;65;Barger-Compascuum;the Netherlands;Barger-Compascuum, the Netherlands;52.7548724,7.0416603
2016;M;medicine;Yoshinori Ohsumi;1945;71;Fukuoka;Japan;Fukuoka, Japan;33.5903547,130.4017155
2016;M;literature;Bob Dylan;1941;75;Duluth MN;USA;Duluth MN, USA;46.7866719,-92.1004852
2016;M;peace;Juan Manuel Santos;1951;65;Bogota;Kolumbia;Bogota, Kolumbia;4.7109886,-74.072092
2016;M;economics;Bengt Holmström;1949;67;Helsinki;Finland;Helsinki, Finland;4.7109886,-74.072092
2016;M;economics;Oliver Hart;1948;68;Londyn;United Kingdom;Londyn, United Kingdom;51.5073509,-0.1277583
2017;M;physics;Rainer Weiss;1932;85;Berlin;Germany;Berlin, Germany;51.5073509,-0.1277583
2017;M;physics;Barry C. Barish;1936;81;Omaha NE;USA;Omaha NE, USA;51.5073509,-0.1277583
2017;M;physics;Kip S. Thorne;1940;77;Logan UT;USA;Logan UT, USA;41.7369803,-111.8338359
2017;M;chemistry;Jacques Dubochet;1942;75;Aigle;Switzerland;Aigle, Switzerland;46.3190253,6.970566
2017;M;chemistry;Joachim Frank;1940;77;Siegen;Germany;Siegen, Germany;50.8838492,8.0209591
2017;M;chemistry;Richard Henderson;1945;72;Edinburgh;United Kingdom;Edinburgh, United Kingdom;50.8838492,8.0209591
